Supplier Name,Match1,Score1,Match2,Score2,Match3,Score3,Match4,Score4,Match5,Score5
Ollie Information,Somali Battalion,55,People s Union,52,Oplot Battalion,50,Kalmius Battalion,47,Z Interautomatica,47
Region Trade,Prizrak Battalion Ghost Brigade,47,Peace To Luhansk Region,46,First Crimean Insurance,46,UralVagonZavod,46,Death Battalion,44
Eden Springs,United Shipbuilding,52,People s Union,46,Prizrak Brigade,44,Sparkling Wine Plant Novy Svet,43,Free Donbass,42
RegionProekt,Lenpromtransproyekt,52,Dobrolet,50,VO Technopromexport,45,Oplot Battalion,44,Sparta Battalion,43
East Service Special Complex,Gas Industry Insurance Company SOGAZ,50,Sparkling Wine Plant Novy Svet,45,State enterprise Universal Avia,44,Tactical Missiles,44,First Crimean Insurance,43
FSUE RSVO St Petersburg,Institute Giprostroymost Saint Petersburg,66,O VO TPE,45,Peace To Luhansk Region,43,State Enterprise Sevastopol Commercial Seaport,43,VO TPE,41
ADVERVIZER GROUP MILITARS,Donbas People s Militia,46,Donbass People s Militia,45,Prizrak Brigade,40,Federativnoye Gosudarstvo Novorossiya,39,Feodosia Enterprise of oil,39
PC Alta,Donbas People s Militia,40,TPE,40,UAC,40,Donbass People s Militia,39,Concern Almaz Antey,38
Megaline Express,People s Union,47,Almaz Antey Defense,46,Bank Rossiya,43,Sberbank of Russia,41,Zaliv Shipyard,40
MK Service,ORIENTAL REVIEW,40,Donetsk Republic,38,Russia Bank,38,Rostec,38,Z Interautomatica,37
Audit Company Korsakov,Gas Industry Insurance Company SOGAZ,48,First Crimean Insurance,44,Bank of Russia,39,Interavtomatika,38,SOVCOMBANK,38
time,TPE,57,Otkritie,50,Smert Battalion,42,VO TPE,40,Rostec,40
Lyksklin,Kalmius Battalion,40,People s Union,36,Smert Battalion,35,Oplot Battalion,35,Mir Luganschine,35
S MedExpress,Mostotrest P,42,Federal State of Novorossiya,40,Almaz Antey Defense,39,VO Technopromexport,39,So called Donetsk People s Republic,38
Trial Market,Russia Bank,52,ORIENTAL REVIEW,52,Tactical Missiles,48,Industrial Savings Bank,46,Prizrak Brigade,44
TS MEDIA,United Aircraft,43,Donetsk Republic,42,Fedosia Oil Products Supply,40,IS Bank,40,First Crimean Insurance,39
EKODAR M,The Great Don Army,38,ZELENODOLSK SHYARD,38,Feodosia Enterprise of oil,35,United Aircraft,35,Vneshekonombank,35
Kombinat,Sovkombank,56,SOVCOMBANK,44,Vneshekonombank,43,Somali Battalion,42,Kalmius Battalion,40
Faer,ROSNEFT AERO,50,VEB RF,40,Bulwark,36,Sberbank of Russia,36,558 ARP,36
Magistral North,NEW EASTERN OUTLK,50,Death Battalion,47,Smert Battalion,47,Oplot Battalion,47,Industrial Savings Bank,47
SOLAR ELS SPB,So called Lugansk People s Republic,46,Mostotrest,43,So called Donetsk People s Republic,42,Donetskaya Narodnaya Respublika,41,Mostotrest Mostotrest,41
Ip Duda Ivan Pavlovich,UralVagonZavod,44,VTB Bank Public,43,Oplot Battalion,38,Mir Luganschine,38,State enterprise Universal Avia,38
Airlines UTair,Tactical Missiles,52,Mir Luganschine,48,Zarya Battalion,48,Somali Battalion,47,Sparta Battalion,47
Company Brown Lizard,Somali Battalion,50,Prizrak Brigade,46,Bank Rossiya,44,Cossack National Guard,40.90909090909091,25 January Committee,40
Naudit and,VTB Bank Public,48,IS Bank,47,VTB Bank,44,NEW EASTERN OUTLK,44,Zaliv Shipyard,42
Concentrant Express,Concern Almaz Antey,53,Internet Research Agency,51,Lenpromtransproyekt,47,ORIENTAL REVIEW,47,ROSNEFT AERO,45
MGTS,Mostotrest,43,Mostotrest P,38,Mir Luganschine,32,TPE,29,USC,29
MONOLITLBROKSTROY,ROSNEFT AERO,41,Dobrolet,40,Narodny Soyuz,40,Stroygazmontazh Most SGM MOST,39,Lenpromtransproyekt,39
AVTOSS,Bank Rossiya,44,VTB,44,VTB Bank,43,Bank of Russia,40,Smert Battalion,38
Ltd Trading House MK Slicle,Stroygazmontazh Most SGM MOST,43,VTB Bank Public,43,So called Lugansk People s Republic,42,Sberbank of Russia,40,So called Donetsk People s Republic,39
AUTOST,Rostec,50,Smert Battalion,48,Sparta Battalion,45,Vostok Battalion,45,USC,44
Avers,VEB RF,55,ROSNEFT AERO,47,Russia Bank,38,VO TPE,36,Bank Rossiya,35
VENTELEKTRO,Integral,42,Lenpromtransproyekt,40,Internet Research Agency,40,Vneshekonombank,38,ORIENTAL REVIEW,38
N TLOLIY ELENA VITALYLENNA,Somali Battalion,43,Bank Otkritie Financial,41,Oplot Battalion,39,ORIENTAL REVIEW,39,NEW EASTERN OUTLK,37
Balashikhinskaya Tower,Concern Almaz Antey,44,Zaliv Shipyard,44,Industrialny Sberegatelny Bank,42,Donbas People s Militia,40,So called Luhansk Guard,40
FGBU FNC Gardening,Cossack National Guard,45,Battalion Gvardeysky,42,Luhansk Economic Union,40,Bank Otkritie Financial,39,Mir Luganschine,36
Interfax,Integral,75,Interavtomatika,52,Z Interautomatica,48,Z Interavtomatika IA,43,United Aircraft,43
Marigard,Prizrak Brigade,52,Zaliv Shipyard,45,Battalion Gvardeysky,43,Russia Bank,42,Cossack National Guard,40
MVS Service,First Crimean Insurance,41,ORIENTAL REVIEW,38,Donetsk Republic,37,Azovsky likerovodochny zavod,36,Free Donbas,36
MD,RDIF,33,The Great Don Army,20,Dobrolet,20,Almaz Antey Defense,19,Dobrolyot,18
Mosovodok,SOVCOMBANK,53,Sovkombank,53,Sobol,43,Mostotrest,42,Svobodny Donbass,40
Mosenergosbyt,Mostotrest,52,Mostotrest P,48,ROSNEFT AERO,48,Dobrolyot,45,Mostotrest Mostotrest,41
Nestle Russia,Russia Bank,67,Bank of Russia,59,Bank Rossiya,56,Russian Direct Investment Fund,56,Sberbank of Russia,52
NOTARY OF MOSCOW ALEKSEEV Sergey,Army of the Southeast,42,Army of the South East,41,Federal State of Novorossiya,40,Separate Artillery Brigade of the 1st Army Corps,40,Movement Novorossiya of Igor Strelkov,38
Oscar KSB,Bank Rossiya,48,Sobol,43,Bank of Russia,43,Mostotrest,42,CB IS Bank,42
Regional Network,ORIENTAL REVIEW,52,Donetsk Republic,50,Integral,50,Cossack National Guard,47,Peace To Luhansk Region,46
SOREL INVEST PLYUS,Mostotrest P,53,Russian Direct Investment Fund,50,Sparkling Wine Plant Novy Svet,46,Industrialny Sberegatelny Bank,46,Mostotrest,43
Spline Center,Integral,48,ROSNEFT AERO,48,Sparkling Wine Plant Novy Svet,47,NEW EASTERN OUTLK,47,People s Union,44
Antal Rasha,Death Battalion,54,Zarya Battalion,54,Sparta Battalion,52,Kalmius Battalion,50,Zaliv Shipyard,48
NetKubub,Donetsk Republic,50,VTB Bank Public,43,VTB Bank,38,VTB,36,Interavtomatika,35
VERTRS,VEB RF,50,VTB,44,Lenpromtransproyekt,40,Mostotrest,38,VO TPE,33.333333333333336
Sireem Sensor,Free Donbass,48,People s Union,44,ORIENTAL REVIEW,43,Free Donbas,42,Chernomorneftegaz,40
Translog,Integral,50,Lenpromtransproyekt,44,Oplot Battalion,43,Somali Battalion,42,Vostok Battalion,42
Promo Diedzhl,VO Technopromexport,44,O VO Technopromexport,41,Chernomorneftegaz,40,Lenpromtransproyekt,38,Promsvyazbank,38
BEST LOGISTIK SERVICE,Smert Battalion,44,Donbas People s Militia,41,First Crimean Insurance,41,Donbass People s Militia,40,So called Lugansk People s Republic,39
MGPD Devstance 6,Mir Luganschine,39,Gas Industry Insurance Company SOGAZ,38,Almaz Antey,37,Mostotrest P,36,First Crimean Insurance,36
DHL Express,Donbas People s Militia,41,So called Lugansk People s Republic,39,Fedosia Oil Products Supply,37,Federal State of Novorossiya,36,Free Donbas,36
Hotel complex Astoria,Donbas People s Militia,50,VO Technopromexport,50,Oplot Battalion,50,Donbass People s Militia,49,O VO Technopromexport,48
IMPRESS MEDIA,Russia Bank,42,Mostotrest Mostotrest,41,Mostotrest P,40,Bank Rossiya,40,IS Bank,40
LIRA,Integral,50,Zarya Battalion,42,Sparta Battalion,40,GEOPOLITICA,40,Bulwark,36
FSUE Security of the Federal Service for Troops,Federal State of Novorossiya,45,State Enterprise Sevastopol Commercial Seaport,45,Separate Artillery Brigade of the 1st Army Corps,44,State Unitary Enterprise of the City of Sevastopol Sevastopol Sea Port,44,State Unitary Enterprise of the Crimean Republic Crimean Sea Ports,44
Centurion,Peace To Luhansk Region,44,People s Union,43,Death Battalion,42,Smert Battalion,42,ORIENTAL REVIEW,42
Auto Magazine of Combinary Waters,State Concern National Association of producers Massandra,47,Prizrak Battalion Ghost Brigade,41,Army of the South East,40,Federal State of Novorossiya,39,Almaz Antey Defense,38
ILSA,IS Bank,55,CB IS Bank,43,Tactical Missiles,38,Bulwark,36,Zaliv Shipyard,33
Sherp Autodiagnostik,Interavtomatika,51,Z Interautomatica,49,Smert Battalion,46,Z Interavtomatika IA,45,Army of the Southeast,44
Floring,Otkritie,40,Integral,40,Oplot Battalion,36,ORIENTAL REVIEW,36,Free Donbas,33
