Supplier Name,Match1,Score1,Match2,Score2,Match3,Score3,Match4,Score4,Match5,Score5
DNA Media Digital,Donetskaya Narodnaya Respublika,46,Death Battalion,44,ORIENTAL REVIEW,44,Kalmius Battalion,41,The Great Don Army,40
MKZNAK,Almaz Antey,35,Promsvyazbank,30.76923076923077,Sovkombank,30.000000000000004,Prizrak Brigade,29,Interavtomatika,29
Er Telecom Holding,United Shipbuilding,49,Prizrak Battalion Ghost Battalion,43,Smert Battalion,42,Mir Luganschine,42,Rostec,42
Anchor,Mir Luganschine,48,UAC,44,Concern Almaz Antey,40,Bank of Russia,40,CB IS Bank,38
SERVISLAB PROJECT,Promsvyazbank,47,ORIENTAL REVIEW,44,Russian Direct Investment Fund,43,Lenpromtransproyekt,42.10526315789473,Fedosia Oil Products Supply,41
Hotel Monarch Center,Internet Research Agency,50,Mostotrest Mostotrest,44,NEW EASTERN OUTLK,43,Death Battalion,40,Interavtomatika,40
GALS PROGRESS,Bank Rossiya,48,Mostotrest,43,Prizrak Brigade,43,Free Donbas,42,Russia Bank,42
Demichev V V,VAD Aktsionernoe Obshchestvo VAD,41,VO Technopromexport,39,Luganskiy Ekonomicheskiy Soyuz,38,Mir Luganschine,37,O VO Technopromexport,36
Atol,Sobol,44,Oplot Battalion,42,VO TPE,40,Somali Battalion,40,Kalmius Battalion,38
Engineering Systems,Internet Research Agency,47,Sparkling Wine Plant Novy Svet,41,State enterprise Universal Avia,40,Industrial Savings Bank,38,Concern Almaz Antey,37
Viptekhnika Service,Internet Research Agency,47,Z Interavtomatika IA,41,Interavtomatika,41,NEW EASTERN OUTLK,39,First Crimean Insurance,38
GLOVEDIA,GEOPOLITICA,42,Genbank,40,O VO TPE,38,UralVagonZavod,36,Death Battalion,35
MANKI,IS Bank,67,CB IS Bank,53,SOVCOMBANK,53,Sovkombank,53,Russia Bank,50
Chop Battalion,Oplot Battalion,83,Death Battalion,76,Somali Battalion,73,Sparta Battalion,73,Vostok Battalion,73
CS Personnel Consulting,Sparkling Wine Plant Novy Svet,45,Black Sea Bank Development and Reconstruction,44,Donbass People s Militia,43,Donbas People s Militia,43,Black Sea Bank for Development and Reconstruction,42
Chop Arma,The Great Don Army,44,Concern Almaz Antey,43,VO Technopromexport,43,Oplot Battalion,42,Army of the Southeast,40
College of lawyers Titarenko,So called Luhansk Guard,43,So called Lugansk Guard,43,Movement Novorossiya of Igor Strelkov,43,Movement Novorossiya of Ignor Strelkov,42,Army of the South East,40
Web Granieishn Group,The Great Don Army,42,Luganskiy Ekonomicheskiy Soyuz,40,Mir Luganschine,40,Russian Direct Investment Fund,40,Stroygazmontazh Corporation SGM Group,39
Ernst Young Evaluation,Smert Battalion,49,Somali Battalion,47,Peace To Luhansk Region,44,People s Union,44,Russian National Commercial Bank,44
Open Computer,Concern Almaz Antey,44,VO Technopromexport,44,People s Union,44,25 January Committee,42,Army of the Southeast,41
STD Petrovich,ROSNEFT AERO,48,Rostec,42,Donetsk Republic,41,Z Interautomatica,40,Azovsky likerovodochny zavod,39
Studio Art,Mostotrest,50,United Aircraft,48,Vostok Battalion,46,ROSNEFT AERO,45,Cossack National Guard,44
SK Fort,Mostotrest,47,Mostotrest P,42,Dobrolet,40,O VO TPE,40,Otkritie,40
Security Organization,Smert Battalion,56,Sparta Battalion,49,First Crimean Insurance,45,Death Battalion,44,Resort Nizhnyaya Oreanda,44
TranstehService,Rostec,48,Internet Research Agency,41,Smert Battalion,40,ORIENTAL REVIEW,40,Z Interautomatica,38
Honey Plus,Donetsk Republic,46,Kalmius Battalion,44,Narodny Soyuz,43,Luganskiy Ekonomicheskiy Soyuz,40,Oplot Battalion,40
SK STROYSERVIS,Industrial Savings Bank,49,Industrialny Sberegatelny Bank,41,Institute Giprostroymost Saint Petersburg,40,Donetsk Republic,40,O VO Technopromexport,40
LVN Management,Almaz Antey,48,Almaz Antey Defense,42,Concern Almaz Antey,42,Lenpromtransproyekt,42,Smert Battalion,41
Floretek,Mostotrest,44,Rostec,43,ORIENTAL REVIEW,43,Free Donbas,42,Free Donbass,40
Tekhno y,VO Technopromexport,44,VO TPE,43,O VO Technopromexport,41,The Great Don Army,38,Narodny Soyuz,38
General Construction,Death Battalion,46,Smert Battalion,46,Zarya Battalion,46,Black Sea Bank Development and Reconstruction,46,Research and Production Corporation UralVagonZavod,46
TSN HOA Kotelnichesky 31,Luganskiy Ekonomicheskiy Soyuz,48,Army of the Southeast,44,So called Lugansk Guard,38,Resort Nizhnyaya Oreanda,38,So called Donetsk People s Republic,37
ATI NET SYSTEMS,Smert Battalion,47,Somali Battalion,45,Sparta Battalion,45,Mostotrest Mostotrest,44,Army of the South East,43
hedgehog,Free Donbas,32,So called Luhansk Guard,32,GEOPOLITICA,32,The Great Don Army,31,Resort Nizhnyaya Oreanda,31
Environmental Sorting,Bank Otkritie Financial,50,ORIENTAL REVIEW,50,VO Technopromexport,45,Black Sea Bank Development and Reconstruction,45,Industrial Savings Bank,45
TD Alta,United Aircraft,45,VTB Bank,40,Integral,40,Almaz Antey Defense,38,UralVagonZavod,38
Lightnet Complex,People s Union,47,Sparkling Wine Plant Novy Svet,43,First Crimean Insurance,41,Internet Research Agency,40,Interavtomatika,39
Chop Levies,ORIENTAL REVIEW,46,O VO TPE,42,Zaliv Shipyard,40,VO Technopromexport,40,People s Union,40
BDO Unicon Business Service,People s Union,49,Sberbank of Russia,44,Donetsk Republic,42,Svobodny Donbass,42,Industrialny Sberegatelny Bank,42
Ronova Region Service,ORIENTAL REVIEW,50,Internet Research Agency,44,ROSNEFT AERO,42,The Great Don Army,41,Movement Novorossiya of Ignor Strelkov,41
DATLINE,Death Battalion,55,Smert Battalion,55,Oplot Battalion,45,Zarya Battalion,45,Battalion Gvardeysky,44
Finmarket,Lenpromtransproyekt,43,Smert Battalion,42,Mostotrest,42,Interavtomatika,42,ORIENTAL REVIEW,42
TopAvto,Oplot Battalion,45,Interavtomatika,45,Sparta Battalion,43,Vostok Battalion,43,TPE,40
HEPPI FRRAD,The Great Don Army,41,558 Aircraft Repair Plant,39,Prizrak Brigade,38,United Aircraft,38,GEOPOLITICA,36
201abs,CB IS Bank,38,IS Bank,31,VTB Bank,29,Free Donbas,24,Russia Bank,24
UFK in St Petersburg OIO,Institute Giprostroymost Saint Petersburg,52,State enterprise Universal Avia,44,Z Interautomatica,44,Fedosia Oil Products Supply,43,Feodosia Enterprise of oil,40
Management Moshodosbyt branch,Black Sea Bank Development and Reconstruction,43,Movement Novorossiya of Ignor Strelkov,42,Movement Novorossiya of Igor Strelkov,42,Black Sea Bank of Development and Reconstruction,42,Black Sea Bank for Development and Reconstruction,41
Grace Tour,Peace To Luhansk Region,48,Mir Luganschine,48,Cossack National Guard,44,The Great Don Army,43,Zarya Battalion,40
Leroa Merlen East,NEW EASTERN OUTLK,47,Industrialny Sberegatelny Bank,43,ROSNEFT AERO,41,Sberbank,40,Almaz Antey Defense,39
Wururt Rus,Rostec,38,Sberbank of Russia,36,ROSNEFT AERO,36,Bank of Russia,33,Army of the Southeast,32
NKO Inkyran,Bank Rossiya,52,Bank of Russia,48,Bank Otkritie Financial,47,Resort Nizhnyaya Oreanda,46,Integral,42
CH Caesar Securiti,So called Luhansk Guard,44,Smert Battalion,42,NEW EASTERN OUTLK,40,So called Lugansk Guard,39,Army of the Southeast,36
Moiseev Alexander Evgenievich,Almaz Antey Defense,42,ORIENTAL REVIEW,41,So called Lugansk People s Republic,38,Mir Luganschine,36,Aktsionernoe Obshchestvo Genbank,36
Alagard,UralVagonZavod,57,Zaliv Shipyard,48,So called Luhansk Guard,47,So called Lugansk Guard,47,Almaz Antey,44
Management Technologies,VO Technopromexport,43,O VO Technopromexport,41,Black Sea Bank Development and Reconstruction,41,Black Sea Bank for Development and Reconstruction,39,Black Sea Bank of Development and Reconstruction,39
MODADIZAIN,Almaz Antey,48,Promsvyazbank,43,Prizrak Brigade,40,Somali Battalion,37.5,Concern Almaz Antey,34
Merry Water Vozozoz,Federal State of Novorossiya,47,NEW EASTERN OUTLK,44,The Great Don Army,43,Smert Battalion,41,Army of the Southeast,40
Evpenet OEM,VO TPE,47,NEW EASTERN OUTLK,43,ROSNEFT AERO,43,O VO TPE,42,The Great Don Army,41
Ooo Company Tensor,Gas Industry Insurance Company SOGAZ,48,O VO Technopromexport,46,O VO TPE,46,First Crimean Insurance,44,Almaz Antey Defense,43
SMK Athena,Smert Battalion,48,Almaz Antey,48,Genbank,47,IS Bank,47,Somali Battalion,46
Automotive Group,Z Interautomatica,48,Mostotrest P,43,Stroygazmontazh Corporation SGM Group,42,VO Technopromexport,40,Z Interavtomatika IA,39
Krasovsky Dmitry Ivanovich,Azovsky likerovodochny zavod,44,Donbas People s Militia,41,Donbass People s Militia,40,Mir Luganschine,39,Sovkombank,39
Foundation of rational nature,Cossack National Guard,47,State Enterprise Magarach of the National Institute of Wine,43,Prizrak Battalion Ghost Brigade,43,Russian National Commercial Bank,43,NEW EASTERN OUTLK,43
SOROR INVEST,Mostotrest,55,Dobrolet,50,Mostotrest P,50,Rostec,44,Svobodny Donbass,43
EnergoForm Heat Systems,Army of the Southeast,50,Army of the South East,44,The Great Don Army,44,State Enterprise Sparkling Wine Plant Novy Svet,40,Z Interautomatica,40
SOLAR ELS,Mostotrest,53,People s Union,43,Sobol,43,Almaz Antey,40,VO TPE,40
DHL International,Z Interautomatica,59,Interavtomatika,56,Integral,56,Z Interavtomatika IA,54,Cossack National Guard,51
College of lawyers of the republic,So called Lugansk People s Republic,55,State Unitary Enterprise of the Republic of Crimea Chernomorneftegaz,55,So called Donetsk People s Republic,52,State Unitary Enterprise of the Republic of Crimea UNIVERSAL AVIA,51,State Unitary Enterprise of the Crimean Republic Crimean Sea Ports,50
SSP Consult,Mostotrest P,43,Donbas People s Militia,41,Donbass People s Militia,40,So called Donetsk People s Republic,39,Mostotrest,38
College of lawyers Center Oroland,Feodosia Enterprise of oil,47,Federativnoye Gosudarstvo Novorossiya,43,NEW EASTERN OUTLK,40,People s Union,38,State enterprise Universal Avia,38
Capital Ligal Serviceaz,Prizrak Battalion Ghost Brigade,48,Smert Battalion,47,ORIENTAL REVIEW,47,Sparta Battalion,46,So called Lugansk People s Republic,45
Kupriyanov I G,Prizrak Brigade,48,Bank Rossiya,38,Industrial Savings Bank,38,Sberbank of Russia,38,Promsvyazbank,37
Petrovich Dmitry Eduardovich,Aktsionernoe Obshchestvo Genbank,37,Fedosia Oil Products Supply,36,Crimean Republican Enterprise Azov Distillery Plant,35,Donbass People s Militia,35,Donbas People s Militia,35
Law Company EL 1,Almaz Antey Defense,46,Almaz Antey,44,Gas Industry Insurance Company SOGAZ,42,Lenpromtransproyekt,40,25 January Committee,39
Troika Ligal,Z Interavtomatika IA,56,Prizrak Brigade,52,Interavtomatika,52,Bank Rossiya,50,ORIENTAL REVIEW,44
BRUMA SERVICE,ORIENTAL REVIEW,50,Sberbank of Russia,45,Smert Battalion,43,Prizrak Brigade,43,Rostec,42
Branch number 6 Moka,Bank Rossiya,44,Concern Almaz Antey,41,Mir Luganschine,40,Russian National Commercial Bank,38,Chernomorneftegaz,38
Artiks,Bulwark,46,IS Bank,46,Kalmius Battalion,43,Otkritie,43,RDIF,40
Batrukov Alexander Lvovich,Azovsky likerovodochny zavod,41,Internet Research Agency,40,So called Lugansk People s Republic,39,Research and Production Corporation UralVagonZavod,37,So called Donetsk People s Republic,36
MM Color Center,Mostotrest,48,NEW EASTERN OUTLK,44,Integral,43,Concern Almaz Antey,41,VO Technopromexport,41
TRAN GAMMA,Almaz Antey,57,The Great Don Army,50,Russian National Commercial Bank,43,Almaz Antey Defense,41,Concern Almaz Antey,41
Wuurt North West,Army of the Southeast,49,Mostotrest P,43,Mostotrest Mostotrest,43,NEW EASTERN OUTLK,42,Mostotrest,38
DV Avto,VO TPE,46,Death Battalion,45,O VO TPE,40,VTB,40,VTB Bank,40
EKVINET NORD,ROSNEFT AERO,42,The Great Don Army,40,Integral,40,ZELENODOLSK SHYARD,40,VO Technopromexport,39
Kolkleper,VO TPE,40,ROSNEFT AERO,38,VO Technopromexport,36,Dobrolet,35,O VO TPE,35
Autoprogress M,Mostotrest P,46,VO Technopromexport,42,Mostotrest,42,O VO Technopromexport,40,Mostotrest Mostotrest,40
Home Interior,Integral,48,ROSNEFT AERO,48,Z Interautomatica,47,People s Union,44,Smert Battalion,43
Aylav Digital,Zarya Battalion,50,Somali Battalion,41,Sparta Battalion,41,Kalmius Battalion,40,The Great Don Army,39
Meritek SPb,United Shipbuilding,47,Donetsk Republic,44,Mostotrest P,43,Otkritie,42,Prizrak Brigade,38
Ltd Northklecet,Dobrolet,52,ORIENTAL REVIEW,40,Army of the Southeast,39,Army of the South East,38,Free Donbas,38
Night Odpo Profcentzer,Prizrak Brigade,43,Almaz Antey Defense,39,Resort Nizhnyaya Oreanda,39,Prizrak Battalion Ghost Brigade,38,Feodosia Enterprise of oil,38
Shakin Vladimir Anatolyevich,Mir Luganschine,47,Almaz Antey,41,Sparkling Wine Plant Novy Svet,41,Azovsky likerovodochny zavod,39,Almaz Antey Defense,38
AST GOZ,VO TPE,46,NEW EASTERN OUTLK,42,ROSNEFT AERO,42,O VO TPE,40,Narodny Soyuz,40
Consul Motors,Mostotrest Mostotrest,53,Mostotrest,52,Mostotrest P,48,Free Donbas,42,Svobodny Donbass,41
Ignatenkov Veronika Yuryevna,Bank Rossiya,40,Narodny Soyuz,39,Resort Nizhnyaya Oreanda,38,Sparkling Wine Plant Novy Svet,38,Z Interavtomatika IA,38
UFK in the city ofPB ovo in Moscow Pral,Separate Artillery Brigade of the 1st Army Corps,44,Federal State of Novorossiya,42,State Unitary Enterprise of the City of Sevastopol Sevastopol Sea Port,42,State Enterprise Magarach of the National Institute of Wine,41,State Unitary Enterprise of the Republic of Crimea National Institute of Wine Magarach,40
Gazmontizhiniring,Mir Luganschine,50,Stroygazmontazh Corporation SGM Group,44,United Shipbuilding,44,Stroygazmontazh Most SGM MOST,43,Industrial Savings Bank,40
ZSM PROGRESS,Mostotrest,45,Mostotrest P,42,Bank Rossiya,42,The Great Don Army,40,Promsvyazbank,40
Yar0 Rent,ORIENTAL REVIEW,50,558 Aircraft Repair Plant,41,Almaz Antey,40,Mostotrest P,38,First Crimean Insurance,38
Nevsky Atlant,Almaz Antey,58,Vostok Battalion,55,Almaz Antey Defense,50,Concern Almaz Antey,50,Battalion Gvardeysky,48
Intergolor,Integral,67,Interavtomatika,48,ROSNEFT AERO,45,Z Interautomatica,44,NEW EASTERN OUTLK,44
Akva Star Service,State enterprise Universal Avia,54,Smert Battalion,44,VTB Bank Public,44,ORIENTAL REVIEW,44,Sparta Battalion,42
Barinov Vasily Aleksandrovich,Azovsky likerovodochny zavod,46,Luganskiy Ekonomicheskiy Soyuz,41,Mir Luganschine,41,Bank Rossiya,39,Battalion Gvardeysky,37
Klimat Prof,Almaz Antey Defense,40,Concern Almaz Antey,40,Prizrak Brigade,38,Feodosia Enterprise of oil,38,Somali Battalion,37
Mud Media Rasha,United Aircraft,40,Cossack National Guard,38,Fedosia Oil Products Supply,38,Russia Bank,38,So called Luhansk Guard,37
Petersburg Sales,Institute Giprostroymost Saint Petersburg,46,Feodosia Enterprise of oil,43,State enterprise Universal Avia,43,Integral,42,State Enterprise Sparkling Wine Plant Novy Svet,38
Highly Ilya Sergeevich,Internet Research Agency,43,ORIENTAL REVIEW,38,Industrialny Sberegatelny Bank,35,Movement Novorossiya of Igor Strelkov,34,Movement Novorossiya of Ignor Strelkov,33
SP carriers Pavel Igorevich,ORIENTAL REVIEW,48,Donbas People s Militia,44,First Crimean Insurance,44,Donbass People s Militia,43,State Enterprise Sevastopol Commercial Seaport,41
AV PATTS,Zaliv Shipyard,45,Death Battalion,43,VO TPE,43,Zarya Battalion,43,Almaz Antey,42
Merida Plus,Mir Luganschine,46,Russian National Commercial Bank,42,Integral,42,Donbas People s Militia,41,So called Luhansk Guard,41
Recast Auto,Mostotrest,57,Death Battalion,54,Mostotrest P,52,ROSNEFT AERO,52,NEW EASTERN OUTLK,50
Aroma XXI,Interavtomatika,42,Zarya Battalion,42,United Aircraft,42,Z Interavtomatika IA,41,Almaz Antey,40
Terra Assistans,Integral,52,Smert Battalion,47,Interavtomatika,47,Zarya Battalion,47,Russia Bank,46
MSA,IS Bank,40,Promsvyazbank,38,Sberbank,36,USC,33.333333333333336,UAC,33
Aquabalt,Zarya Battalion,43,Sparta Battalion,42,Kalmius Battalion,40,Dobrolet,38,VTB Bank,38
Company SIMPL,SOVCOMBANK,43,Russia Bank,42,Gas Industry Insurance Company SOGAZ,41,Luhansk Economic Union,40,Bank Rossiya,40
Bubborg,Bulwark,43,VTB Bank Public,36,Sobol,33,Sberbank Public Sberbank,32,VEB RF,31
SKY NORD,Narodny Soyuz,57,Cossack National Guard,47,Battalion Gvardeysky,43,Bank Rossiya,40,IS Bank,40
Energia,Interavtomatika,45,Russia Bank,44,Genbank,43,Chernomorneftegaz,42,Z Interautomatica,42
Zetzz,Dobrolet,31,Mostotrest,27,Z Interautomatica,27,Almaz Antey,25,TPE,25
Company AROMOM INNESHNL,Gas Industry Insurance Company SOGAZ,44,Almaz Antey Defense,43,Internet Research Agency,43,The Great Don Army,39,Movement Novorossiya of Ignor Strelkov,39
Sports,Mostotrest,50,Dobrolet,43,Otkritie,43,Dobrolyot,40,Mostotrest Mostotrest,37
CH FORSAD,Bank of Russia,43,CB IS Bank,42,Russia Bank,40,Chernomorneftegaz,38,First Crimean Insurance,38
Rakurs,IS Bank,46,USC,44,Sberbank,43,Sberbank of Russia,42,Prizrak Brigade,38
Klintime,Otkritie,62,Integral,50,Smert Battalion,43,ORIENTAL REVIEW,43,Almaz Antey,42
SPETSMONTAZH SM,Stroygazmontazh Most SGM MOST,55,Stroygazmontazh Corporation SGM Group,46,Chernomorneftegaz,44,Army of the Southeast,39,Free Donbas,38
Horton International,Z Interautomatica,54,Cossack National Guard,52,Interavtomatika,51,Vostok Battalion,50,Z Interavtomatika IA,50
EIC AR ES GROUP,NEW EASTERN OUTLK,44,ROSNEFT AERO,44,Army of the South East,43,Narodny Soyuz,43,Luganskiy Ekonomicheskiy Soyuz,40
MENPAUERGRUP,NEW EASTERN OUTLK,34,Integral,33.333333333333336,Stroygazmontazh Corporation SGM Group,33,ROSNEFT AERO,33,Concern Almaz Antey,32
AERRD,ROSNEFT AERO,47,RDIF,44,Prizrak Brigade,40,VEB RF,36,Bulwark,33
Center,Integral,57,ROSNEFT AERO,44,Chernomorneftegaz,43,Concern Almaz Antey,40,Interavtomatika,38
KARANDERVIS,IS Bank,44,Industrial Savings Bank,41,Almaz Antey Defense,40,Resort Nizhnyaya Oreanda,40,RDIF,40
Brand Smile,IS Bank,56,Russia Bank,55,Smert Battalion,54,Somali Battalion,52,Bank Rossiya,52
formax,SOVCOMBANK,38,Sovkombank,38,Free Donbas,35,Free Donbass,33,Concern Almaz Antey,32
SYSTEMS AND TECHNOLOGIES,O VO Technopromexport,44,ZELENODOLSK SHYARD,43,VO Technopromexport,42,Foreign Economic Association Technopromexport,41,Mir Luganschine,41
Company,SOVCOMBANK,59,Sovkombank,47,Concern Almaz Antey,46,Almaz Antey,44,25 January Committee,44
Road Association,Zarya Battalion,52,Russian National Commercial Bank,50,Somali Battalion,50,Sparta Battalion,50,Cossack National Guard,47
Lev Jan Aronovich,Luhansk Economic Union,46,VTB Bank Public,44,Luganskiy Ekonomicheskiy Soyuz,43,25 January Committee,43,VAD Aktsionernoe Obshchestvo VAD,41
epico Olga Eduardovna,Cossack National Guard,47,NEW EASTERN OUTLK,47,So called Lugansk Guard,45,Donetsk Republic,43,Feodosia Enterprise of oil,43
Chemhwine Denis Yakovlevich,State enterprise Universal Avia,38,CB IS Bank,38,The Great Don Army,36,State Unitary Enterprise of the Republic of Crimea Chernomorneftegaz,36,Chernomorneftegaz,36
Insurance Technologies,Gas Industry Insurance Company SOGAZ,48,VO Technopromexport,44,O VO Technopromexport,42,Foreign Economic Association Technopromexport,42,Peace To Luhansk Region,40
Smart Accounting,Smert Battalion,52,Sparta Battalion,50,Mir Luganschine,45,Internet Research Agency,45,Almaz Antey,44
ANGARA ATSTANS,Zarya Battalion,62,Sparta Battalion,60,Smert Battalion,48,Somali Battalion,47,Kalmius Battalion,45
Scartel,Rostec,46,Sparta Battalion,43,Cossack National Guard,41,TPE,40,USC,40
MTS,Mostotrest,46,Mostotrest P,40,VTB,33.333333333333336,TPE,33,USC,33
Svyaz Holding,Narodny Soyuz,54,Promsvyazbank,46,United Shipbuilding,44,Svobodny Donbass,41,Chernomorneftegaz,40
Rosokhran Telecom,Rostec,52,Army of the Southeast,47,O VO Technopromexport,42,Vostok Battalion,41.17647058823529,Army of the South East,41
Infotele,Integral,62,VO TPE,43,Rostec,43,ORIENTAL REVIEW,43,Free Donbas,42
Post Russia,Bank of Russia,64,Russia Bank,64,Sberbank of Russia,55,Bank Rossiya,52,People s Union,48
Sign of Difference,First Crimean Insurance,44,Bank of Russia,44,Russian Direct Investment Fund,42,Federal State of Novorossiya,39,Sberbank of Russia,39
K2 Automotive Claud,Z Interautomatica,56,Z Interavtomatika IA,46,Bank Otkritie Financial,43,25 January Committee,41,Interavtomatika,41
PEPELEV GROUP,People s Union,52,O VO TPE,48,NEW EASTERN OUTLK,40,Donbas People s Militia,39,Peace To Luhansk Region,39
MOEK,Mostotrest,43,VO TPE,40,Rostec,40,Mostotrest P,38,Genbank,36
DPK SPb,Donetsk Republic,43,IS Bank,43,VTB Bank,40,United Shipbuilding,38,Prizrak Brigade,36
Express Auto West,Mostotrest Mostotrest,47,People s Union,45,Smert Battalion,44,Mostotrest,44,Sparta Battalion,42
MS Auto,Kalmius Battalion,50,Mostotrest,47,Smert Battalion,45,Almaz Antey,44,Somali Battalion,43
Vector,VEB RF,50,VTB,44,VO Technopromexport,40,Mostotrest,38,SOVCOMBANK,38
Almetor Finland,Almaz Antey,46,Resort Nizhnyaya Oreanda,46,So called Luhansk Guard,42,So called Lugansk Guard,42,Peace To Luhansk Region,42
Nordavtoservis,Interavtomatika,48,Z Interavtomatika IA,41,ORIENTAL REVIEW,41,Feodosia Enterprise of oil,40,Rostec,40
Consulting Plus,Donbas People s Militia,53,Donbass People s Militia,51,United Shipbuilding,47,Cossack National Guard,43,Luhansk Economic Union,43
PF SKB contour,Mostotrest P,46,Luhansk Economic Union,44,People s Union,43,Mostotrest,42,Donetsk Republic,40
Laboratory of Smart Driving,Federal State of Novorossiya,47,Movement Novorossiya of Igor Strelkov,44,Smert Battalion,43,Movement Novorossiya of Ignor Strelkov,43,Z Interavtomatika IA,43
Absolute,Dobrolet,50,Dobrolyot,47,Sobol,46,Mostotrest,44,VO TPE,43
Sky Auto,Battalion Gvardeysky,50,Narodny Soyuz,48,Smert Battalion,43,Zarya Battalion,43,Somali Battalion,42
ANO Independent Expertise Center,State enterprise Universal Avia,48,Federal United Enterprise Crimea Railway,47,State Enterprise Sevastopol Commercial Seaport,44,Crimean Republican Enterprise Azov Distillery Plant,43,State Enterprise Sparkling Wine Plant Novy Svet,43
Caesar Satellite Systems,Almaz Antey Defense,42,Separate Artillery Brigade of the 1st Army Corps,42,Army of the Southeast,40,Almaz Antey,40,Sparta Battalion,40
Volya Tolly Express,Almaz Antey Defense,47,VO Technopromexport,47,O VO Technopromexport,45,Mostotrest,41,Donetskaya Narodnaya Respublika,40
Alfred,Free Donbas,47,Free Donbass,44,Zaliv Shipyard,40,United Aircraft,38,ORIENTAL REVIEW,38
Course Vdpo,O VO TPE,53,VO Technopromexport,47,VO TPE,47,Free Donbas,45,O VO Technopromexport,44
Ma Studio,Somali Battalion,48,People s Union,43,Death Battalion,42,Smert Battalion,42,Mostotrest,42
Optic,GEOPOLITICA,62,Rostec,55,Otkritie,46,Oplot Battalion,40,Donetsk Republic,38
TsPM,TPE,57,VO TPE,40,Mostotrest P,38,O VO TPE,33,Smert Battalion,32
Absolute Insurance,First Crimean Insurance,63,Gas Industry Insurance Company SOGAZ,52,Bank Otkritie Financial,49,Almaz Antey Defense,43,Concern Almaz Antey,43
All Russian public organiser,So called Lugansk People s Republic,60,Sberbank Public Sberbank,54,So called Donetsk People s Republic,51,Russia Bank,51,Bank of Russia,48
Delta Mekong,Death Battalion,44,ROSNEFT AERO,42,Donbas People s Militia,40,Federal State of Novorossiya,40,Peace To Luhansk Region,40
Master Lunch,Mir Luganschine,59,NEW EASTERN OUTLK,48,Smert Battalion,44,Rostec,44,Almaz Antey,43
Teksk,TPE,50,Mostotrest,40,VO TPE,36,Rostec,36,Mostotrest P,35
VENTRU,VEB RF,50,VTB,44,Integral,43,ORIENTAL REVIEW,38,Donetsk Republic,36
Potapov Nikita Olegovich,Donbas People s Militia,43,Azovsky likerovodochny zavod,42,Donbass People s Militia,42,VTB Bank Public,41,Fedosia Oil Products Supply,39
Arm EcoGroup,Army of the South East,47,The Great Don Army,47,Concern Almaz Antey,45,VO Technopromexport,45,Army of the Southeast,42
Art Atlas,Sparta Battalion,56,Smert Battalion,50,Zarya Battalion,50,Army of the Southeast,47,Army of the South East,45
SERPA SERVICE,Sberbank of Russia,45,Sberbank Public Sberbank,43,ORIENTAL REVIEW,43,State enterprise Universal Avia,41,ROSNEFT AERO,40
Varanger,Smert Battalion,43,United Aircraft,43,Almaz Antey,42,Resort Nizhnyaya Oreanda,38,Promsvyazbank,38
autotelel,Mostotrest,42,25 January Committee,41,Rostec,40,Mostotrest P,38,Z Interautomatica,38
Electronic Passport,Luhansk Economic Union,49,Foreign Economic Association Technopromexport,47,Lenpromtransproyekt,47,Sparta Battalion,46,Free Donbass,45
ALFA CAP,Almaz Antey,53,Concern Almaz Antey,37,UAC,36,UralVagonZavod,36,Oplot Battalion,35
Ladyzhensky Cyril Izmailovich,Donetsk Republic,40,Azovsky likerovodochny zavod,39,Luhansk Economic Union,39,Almaz Antey Defense,38,Federal United Enterprise Crimea Railway,38
Level,ORIENTAL REVIEW,40,VO TPE,36,VEB RF,36,Dobrolet,31,O VO TPE,31
Prima Service,ORIENTAL REVIEW,57,First Crimean Insurance,50,Sberbank of Russia,45,Prizrak Brigade,43,Rostec,42
Malarchuk Vitaly Vladimirovich,ORIENTAL REVIEW,40,Somali Battalion,39,Azovsky likerovodochny zavod,38,Zarya Battalion,36,VAD Aktsionernoe Obshchestvo VAD,35
VE,VO TPE,50,VEB RF,50,TPE,40,O VO TPE,40,VTB,40
Dar,Free Donbas,43,Free Donbass,40,Bulwark,40,558 ARP,40,Dobrolet,36
MS Bank Rus,Russia Bank,73,Bank of Russia,72,IS Bank,67,Sberbank of Russia,62,Bank Rossiya,61
Ay Pro,Bank Rossiya,44,O VO TPE,43,Narodny Soyuz,42,Oplot Battalion,38,Prizrak Brigade,38
Viza Eichar Consulting,Prizrak Battalion Ghost Brigade,42,Luhansk Economic Union,41,NEW EASTERN OUTLK,41,Azovsky likerovodochny zavod,40,Donbas People s Militia,40
SIZ SERVICE,Prizrak Brigade,46,ORIENTAL REVIEW,46,Z Interautomatica,43,First Crimean Insurance,41,People s Union,40
UFK in the Moscow region,Peace To Luhansk Region,51,Luhansk Economic Union,43,Mostotrest,41,Army of the Southeast,40,Mostotrest Mostotrest,40
UFK in Moscow Department,Vostok Battalion,50,NEW EASTERN OUTLK,44,First Crimean Insurance,43,Oplot Battalion,41,Army of the South East,39
EMEKS RU,People s Union,45,VEB RF,43,Donetsk Republic,42,Russia Bank,42,Sberbank of Russia,38
ELT search,Internet Research Agency,53,ROSNEFT AERO,45,ZELENODOLSK SHYARD,43,Zaliv Shipyard,42,Death Battalion,40
Ltd Fort,Mostotrest,44,United Aircraft,43,Mostotrest P,40,The Great Don Army,38,Dobrolet,38
