,0,1,2,3,4
" ""Hadhantter""","('Almaz-Antey Corp', 65.83333333333333)","('Almaz-Antey ', 65.15151515151516)","('The Great Don Army', 62.31481481481481)","(' Almaz-Antey Corporation', 62.02898550724637)","('C VAD Aktsionernoe Obshchestvo VAD', 58.767507002801125)"
" ""Four Seasons""","('Free Donbass', 78.33333333333331)","('Free Donbas', 74.31818181818181)","('Russia Bank', 64.46608946608947)","(""'Federal State of Novorossiya'"", 63.01587301587301)","('Fedosia Oil Products Supply Company', 62.24386724386724)"
" ""Company"" AVENT ""","('Concern Almaz-Antey', 69.85155195681511)","(' Promsvyazbank', 66.02564102564102)","('Almaz-Antey ', 65.58857808857809)","('P Promsvyazbank', 65.2991452991453)","('Black Sea Bank Development and Reconstruction', 61.88034188034188)"
" ""LUKOIL-INTER CARD""","('Cossack National Guard', 63.933452168746285)","(' ""United Shipbuilding Corporation""', 63.93331526158851)","('Russian National Commercial Bank', 63.46288515406163)","("" 'VO TPE'"", 63.39869281045751)","(' ""United Aircraft Corporation""', 62.052399307301265)"
" ""EO ATSISTANCE CIS""","('C VAD Aktsionernoe Obshchestvo VAD', 66.33986928104575)","('Rostec', 64.2483660130719)","('First Crimean Insurance Company', 63.93331526158851)","(""State Enterprise 'Sevastopol Commercial Seaport'"", 63.29923273657288)","('Tactical Missiles Corporation ', 62.59055346276442)"
 EKOMED,"(""P 'Chernomorneftegaz'"", 62.57309941520468)","('Black Sea Bank of Development and Reconstruction', 59.72222222222222)","('Black Sea Bank for Development and Reconstruction', 59.63718820861678)","(' Black Sea Bank for Development and Reconstruction', 59.63718820861678)","('C VAD Aktsionernoe Obshchestvo VAD', 59.34640522875817)"
" ""ARS""","('Army of the South-East', 76.96969696969697)","('Bank Rossiya', 75.0)","('Rostec', 66.66666666666666)","('Sparta Battalion', 61.80555555555555)","('Russia Bank', 61.61616161616161)"
" ""Ralmir Holding B.V."", branch in","(""Prizrak Battalion 'Ghost' Brigade"", 61.15378050861923)","('Industrial Savings Bank', 60.9860248447205)","('Black Sea Bank for Development and Reconstruction', 60.85343228200371)","(' Black Sea Bank for Development and Reconstruction', 60.85343228200371)","(""' 'Sparkling Wine Plant Novy Svet'"", 60.69561157796451)"
" ""TD"" Ekvaynet ""","('Donetskaya Narodnaya Respublika', 62.876072553491916)","(' ""VO Technopromexport""', 62.064251537935746)","(' TPE', 61.61616161616161)","('Donetsk Republic', 59.60497835497836)","('Vostok Battalion', 59.60497835497836)"
" ""EVROTEKSPB""","("" 'VO TPE'"", 71.11111111111113)","('Donetsk Republic', 70.97222222222221)","('Vneshekonombank', 62.698412698412696)","('VTB', 62.22222222222222)","('P Promsvyazbank', 61.111111111111114)"
" ""Audateks""","(""Gosudarstvennoye unitarnoye predpriyatiye Respubliki Krym 'Zavod shampanskykh vin 'Novy Svet'"", 65.46296296296296)","('Almaz-Antey ', 62.121212121212125)","(""Gosudarstvenoye predpriyatiye Agrofirma 'Magarach' nacionalnogo instituta vinograda i vina 'Magarach'"", 60.143593519882174)","('Bulwark', 60.11904761904761)","('C VAD Aktsionernoe Obshchestvo VAD', 59.83893557422969)"
" ""Vinilmaster""","('Almaz-Antey Corp', 64.36688311688312)","('Almaz-Antey ', 63.63636363636363)","(' Zaliv Shipyard', 61.68831168831169)","('Russian National Commercial Bank', 60.719696969696976)","('Mir Luganschine', 60.577200577200585)"
" ""AGRAD""","(' Integral', 65.83333333333333)","('Integral', 65.83333333333333)","('Separate Artillery Brigade of the 1st Army Corps', 63.47222222222223)","('State Corporation for the Promotion of the Development, Manufacture and Export of High Technology Products ""Rostec""', 61.1904761904762)","('Narodny Soyuz', 61.02564102564102)"
MBI-Saint Petersburg ,"(' TPE', 71.66666666666667)","('IS Bank', 66.34920634920634)","('Industrialny Sberegatelny Bank', 64.86928104575162)","('P Sberbank (Public  Sberbank)', 64.23076923076923)","("" 'Mostotrest'"", 63.57142857142857)"
 YOLLAEVA Olga Nikolaevna,"(' Almaz-Antey Corporation', 63.54382332643203)","('Cossack National Guard', 62.085137085137085)","('Donetskaya Narodnaya Respublika', 61.49852414083914)","(""'Luganskaya Narodnaya Respublika' (LNR)"", 61.3702147525677)","('UralVagonZavod', 61.031746031746025)"
" ""Freit Link""","('Smert Battalion', 67.46031746031746)","('Death Battalion', 66.66666666666666)","('Sparta Battalion', 65.83333333333333)","('IS Bank', 65.71428571428571)","('Free Donbas', 65.15151515151516)"
" ""Automotive Statistics""","('Mostotrest, P', 66.98412698412697)","('Z Interautomatica', 66.63793722617251)","(""Mostotrest;  'Mostotrest'"", 64.34676434676435)","('P Mostotrest', 63.650793650793645)","("" 'Institute Giprostroymost - Saint-Petersburg'"", 63.57594528326236)"
Modern technologies of water produce,"('Movement ""Novorossiya"" of Igor Strelkov', 69.67067067067066)","('Movement Novorossiya of Ignor Strelkov', 69.07797270955166)","('Almaz-Antey Defense Corporation', 68.69653524492234)","('Black Sea Bank for Development and Reconstruction', 65.96371882086167)","(' Black Sea Bank for Development and Reconstruction', 65.96371882086167)"
" ""Migakon""","('Mir Luganschine', 68.25396825396824)","(' Genbank', 63.095238095238095)","('IS Bank', 63.095238095238095)","(""Prizrak Battalion 'Ghost' Brigade"", 62.51920122887865)","(""Prizrak Battalion 'Ghost' Battalion"", 62.19336219336219)"
" ""METRO Cash & Kerry""","('The Great Don Army', 70.68783068783068)","('So-called ""Luhansk Guard""', 67.4327122153209)","(""'Federal State of Novorossiya'"", 67.30158730158729)","('Peace To Luhansk Region', 66.7391304347826)","(""Resort 'Nizhnyaya Oreanda'"", 65.83333333333333)"
" ""ROLLO""","('Russian National Commercial Bank', 64.16666666666667)","(""So-called Donetsk People's Republic"", 63.80952380952382)","(""So-called 'Lugansk People's Republic'"", 63.80952380952382)","('Black Sea Bank for Development and Reconstruction', 63.40136054421769)","(' Black Sea Bank for Development and Reconstruction', 63.40136054421769)"
SERVISAKSP ,"('Sberbank', 73.75)","('Sberbank of Russia', 64.44444444444444)","('Promsvyazbank P', 61.111111111111114)","('Russia Bank', 60.4040404040404)","(""Gosudarstvennoye unitarnoye predpriyatiye Respubliki Krym 'Zavod shampanskykh vin 'Novy Svet'"", 60.370370370370374)"
" ""Intrinstruments.ru""","('Russian Direct Investment Fund', 71.93899782135075)","("" 'Institute Giprostroymost - Saint-Petersburg'"", 63.47109304426377)","('Industrialny Sberegatelny Bank', 62.910052910052904)","(""State Unitary Enterprise of the Crimean Republic 'Crimean Sea Ports'"", 62.79461279461279)","(""State enterprise 'Universal-Avia'"", 62.40826079535756)"
Multi Motors Group,"('Mostotrest, P', 67.5925925925926)","('Tactical Missiles Corporation ', 61.06549899653347)","("" 'Mostotrest'"", 60.105820105820094)","(' ""United Shipbuilding Corporation""', 60.02730841440519)","("" 'Institute Giprostroymost - Saint-Petersburg'"", 59.9728997289973)"
FSUE Post of Russia,"('P Sberbank of Russia', 71.70426065162907)","('Sberbank of Russia', 71.05263157894738)","('O ""VO TPE""', 65.25689223057644)","('Bank of Russia', 64.68671679197995)","(""'Federal State of Novorossiya'"", 64.17293233082707)"
"C ""Ollie Information","('Tactical Missiles Corporation ', 67.29431336963097)","(' ""United Aircraft Corporation""', 64.83430799220274)","('United Aircraft Corporation', 64.83430799220274)","('Concern Almaz-Antey', 64.32748538011695)","(""People's Union"", 63.14397103870788)"
" ""Region-Trade""","('P Integral', 69.72222222222223)","('The Great Don Army', 69.10774410774411)","(""Resort 'Nizhnyaya Oreanda'"", 68.33333333333333)","(' Integral', 67.65873015873018)","('Integral', 67.65873015873018)"
" ""Eden Springs""","(' Feodosia Enterprise of oil', 67.26495726495726)","('Donetsk Republic', 65.97222222222221)","('Movement ""Novorossiya"" of Igor Strelkov', 63.453453453453456)","('Movement Novorossiya of Ignor Strelkov', 63.21637426900585)","('Free Donbass', 62.698412698412696)"
" ""RegionProekt""","(""P 'Chernomorneftegaz'"", 66.71539961013644)","("" 'Lenpromtransproyekt'"", 61.98830409356725)","('Dobrolet', 61.38888888888889)","('Battalion Gvardeysky', 60.55555555555555)","(""Resort 'Nizhnyaya Oreanda'"", 59.72222222222222)"
East-Service Special Complex ,"(""State Enterprise 'Sevastopol Commercial Seaport'"", 72.86988373944897)","(""Donbass People's Militia"", 66.7989417989418)","('First Crimean Insurance Company', 65.85617268978899)","(""State enterprise 'Universal-Avia'"", 65.31490015360984)","(' \'Foreign Economic Association\' ""Technopromexport""', 64.70784449045318)"
FSUE RSVO - St. Petersburg,"("" 'Institute Giprostroymost - Saint-Petersburg'"", 66)","(""So-called 'Lugansk People's Republic'"", 63.42650103519668)","('O ""VO TPE""', 63.121118012422365)","(""'Federal State of Novorossiya'"", 63.069358178053825)","(""State enterprise 'Universal-Avia'"", 62.5250941891483)"
" ""ADVERVIZER GROUP"" MILITARS ""","(""Donbas People's Militia"", 65.35507246376811)","(""Federal United Enterprise 'Crimea Railway'"", 63.33333333333333)","(""State enterprise 'Universal-Avia'"", 62.51486401012018)","('Z Interavtomatika (IA)', 61.04761904761905)","(""Donbass People's Militia"", 60.83333333333334)"
" PC ""Alta""","('P UAC', 67.6190476190476)","('Peace To Luhansk Region', 67.28778467908903)","('Concern Almaz-Antey', 65.91478696741855)","('P Integral', 65.71428571428571)","('Oplot Battalion', 64.12698412698413)"
" ""Megaline Express""","(' Integral', 62.797619047619044)","('Integral', 62.797619047619044)","(' Feodosia Enterprise of oil', 62.60683760683761)","(""So-called 'Lugansk People's Republic'"", 62.54120879120879)","('Mir Luganschine', 60.972222222222214)"
" ""MK-Service""","('Donetsk Republic', 64.16666666666667)","('P USC', 63.33333333333333)","('Mir Luganschine', 62.698412698412696)","('P Sberbank (Public  Sberbank)', 61.92307692307693)","('C VAD Aktsionernoe Obshchestvo VAD', 61.04575163398693)"
" Audit Company ""Korsakov","('Almaz-Antey Defense Corporation', 65.60577310102927)","(' ""United Shipbuilding Corporation""', 65.5229716520039)","(' ""United Aircraft Corporation""', 64.82884399551067)","('United Aircraft Corporation', 64.82884399551067)","(' Almaz-Antey Corporation', 64.46640316205534)"
" ""time""","(' TPE', 75.0)","('Tactical Missiles Corporation ', 74.13793103448278)","('First Crimean Insurance Company', 62.634408602150536)","('Aktsionernoe Obshchestvo Genbank', 61.458333333333336)","('C VAD Aktsionernoe Obshchestvo VAD', 61.274509803921575)"
