,0,1,2,3,4
" ""Management Technologies","('Peace To Luhansk Region', 70.84398976982096)","('Aktsionernoe Obshchestvo Genbank', 63.91464194373402)","(' \'Foreign Economic Association\' ""Technopromexport""', 62.133655394524965)","("" 'Foreign Economic Association' 'Technopromexport'"", 62.133655394524965)","("" Foreign Economic Association 'Technopromexport'"", 62.133655394524965)"
" ""MODADIZAIN""","('Somali Battalion', 66.48809523809524)","(' Promsvyazbank', 63.16239316239316)","('P Promsvyazbank', 61.111111111111114)","('Promsvyazbank P', 61.111111111111114)","('Death Battalion', 61.11111111111111)"
" ""Merry Water Vozozoz""","(' Almaz-Antey Corporation', 63.443935926773456)","(""Resort 'Nizhnyaya Oreanda'"", 61.37539361223572)","('Almaz-Antey Defense Corporation', 59.862435244438636)","('UralVagonZavod', 58.1453634085213)","('Army of the Southeast', 57.97068428647375)"
" ""Evpenet OEM""","(""State Enterprise 'Sevastopol Commercial Seaport'"", 65.54677206851119)","('Black Sea Bank Development and Reconstruction', 62.69360269360269)","(""So-called Donetsk People's Republic"", 61.770081770081774)","(' ""VO Technopromexport""', 61.58071947545633)","(""P 'Chernomorneftegaz'"", 61.58071947545633)"
"Ooo ""Company"" Tensor ""","('O ""VO Technopromexport""', 69.57671957671958)","('O ""VO TPE""', 65.93915343915344)","(' ""VO Technopromexport""', 65.49707602339181)","(' Almaz-Antey Corporation', 65.26340004600874)","('Stroygazmontazh Corporation (SGM Group)', 64.4438556203262)"
" ""SMK"" Athena ""","('Smert Battalion', 65.27777777777779)","('Almaz-Antey ', 63.59307359307359)","('Army of the Southeast', 63.01587301587301)","('Death Battalion', 62.698412698412696)","('Army of the South-East', 62.51082251082251)"
" ""Automotive Group""","('Mostotrest, P', 69.67592592592592)","("" 'Mostotrest'"", 61.72619047619047)","(' ""VO Technopromexport""', 61.71052631578947)","(' TPE', 59.72222222222222)","('O ""VO TPE""', 59.72222222222222)"
 Krasovsky Dmitry Ivanovich,"(""Azovsky likerovodochny zavod'"", 67.78388278388277)","('Bank Rossiya', 63.93162393162394)","('C VAD Aktsionernoe Obshchestvo VAD', 62.2846709534016)","('RDIF', 62.17948717948718)","('Luganskiy Ekonomicheskiy Soyuz', 61.59544159544159)"
Foundation of rational nature,"('Bank Otkritie Financial Corporation P', 71.25815470643056)","(' Feodosia Enterprise of oil', 67.25068639769184)","(' ""United Aircraft Corporation""', 66.01319710515114)","('United Aircraft Corporation', 66.01319710515114)","('Almaz-Antey Defense Corporation', 65.76619524339212)"
" ""SOROR INVEST""","('Dobrolet', 68.05555555555557)","("" 'Mostotrest'"", 66.58730158730158)","(' Feodosia Enterprise of oil', 65.87024087024088)","('P Mostotrest', 65.27777777777779)","('Aktsionernoe Obshchestvo Genbank', 63.22601010101009)"
" ""EnergoForm Heat Systems""","('Stroygazmontazh-Most  (SGM-MOST )', 65.74653849545814)","(""'Federativnoye Gosudarstvo Novorossiya'"", 65.70598058012246)","('Free Donbass', 65.60386473429952)","('Army of the Southeast', 65.54865424430642)","("" 'Lenpromtransproyekt'"", 64.72452033092765)"
" ""SOLAR ELS""","('P Mostotrest', 66.66666666666666)","('So-called ""Luhansk Guard""', 66.22383252818035)","('So-called ""Lugansk Guard""', 66.22383252818035)","(""Sobol'"", 64.44444444444444)","('Smert Battalion', 63.33333333333333)"
" ""DHL International""","(""C 'Interavtomatika'"", 73.44028520499108)","('Z Interautomatica', 73.44028520499108)","('Z Interavtomatika (IA)', 70.20499108734404)","('Death Battalion', 69.640522875817)","('Somali Battalion', 65.69741532976826)"
College of lawyers of the republic,"(""So-called Donetsk People's Republic"", 73.17252827056748)","(""So-called 'Lugansk People's Republic'"", 68.31932773109244)","('Black Sea Bank of Development and Reconstruction', 66.20824255628177)","(' Feodosia Enterprise of oil', 65.24886877828054)","('Black Sea Bank Development and Reconstruction', 64.36165577342048)"
" ""SSP-Consult""","('P USC', 63.78787878787878)","('Cossack National Guard', 63.131313131313135)","('Peace To Luhansk Region', 62.53842775581906)","('P UAC', 62.424242424242415)","('USC', 61.61616161616161)"
"College of lawyers ""Center"" Oroland","('Black Sea Bank for Development and Reconstruction', 67.56854256854257)","(' Black Sea Bank for Development and Reconstruction', 67.56854256854257)","('Almaz-Antey Defense Corporation', 65.57510589768654)","(' Feodosia Enterprise of oil', 64.60352512984092)","('Black Sea Bank of Development and Reconstruction', 64.5412457912458)"
Capital Ligal Serviceaz ,"('P Integral', 65.26570048309179)","('Russian National Commercial Bank', 64.85507246376811)","('Z Interavtomatika (IA)', 63.584169453734674)","('Tactical Missiles Corporation ', 62.41254372813593)","('So-called ""Lugansk Guard""', 60.758082497212925)"
 Kupriyanov I.G.,"('Z Interavtomatika (IA)', 62.354497354497354)","('P Sberbank of Russia', 62.354497354497354)","('Prizrak Brigade', 61.82539682539683)","('Promsvyazbank P', 61.82539682539683)","(""' 'Sparkling Wine Plant Novy Svet'"", 61.349206349206355)"
Petrovich Dmitry Eduardovich,"(""'Federativnoye Gosudarstvo Novorossiya'"", 61.82754182754183)","(""People's Union"", 61.77248677248678)","('O ""VO Technopromexport""', 61.66666666666667)","('Otkritie', 61.30952380952381)","(' ""United Shipbuilding Corporation""', 61.15378050861923)"
" ""Law Company"" EL 1 ""","('Russian National Commercial Bank', 62.5)","('Almaz-Antey ', 61.74242424242424)","('Concern Almaz-Antey', 60.39673046251993)","('So-called ""Luhansk Guard""', 60.07081686429512)","('So-called ""Lugansk Guard""', 60.07081686429512)"
" ""Troika Ligal""","('Prizrak Brigade', 69.16666666666667)","('Otkritie', 63.888888888888886)","(""Prizrak Battalion 'Ghost' Brigade"", 63.59563375692407)","(""Prizrak Battalion 'Ghost' Battalion"", 62.878787878787875)","('Bank Rossiya', 62.698412698412696)"
" ""BRUMA SERVICE""","('Mir Luganschine', 65.2991452991453)","('Russian Direct Investment Fund', 64.66977466977467)","('Crimean Republican Enterprise Azov Distillery Plant', 62.342885872297636)","('P Sberbank (Public  Sberbank)', 61.794871794871796)","('UAC', 60.68376068376068)"
"Branch number 6, Moka","('P Sberbank of Russia', 65.71428571428571)","('Russian National Commercial Bank', 64.16666666666667)","(""P 'Chernomorneftegaz'"", 61.87400318979267)","('The Great Don Army', 61.66666666666667)","('Sberbank of Russia', 61.66666666666667)"
" ""Artiks ""","('Army of the Southeast', 61.904761904761905)","('Aktsionernoe Obshchestvo Genbank', 61.80555555555555)","('Army of the South-East', 61.61616161616161)","('C VAD Aktsionernoe Obshchestvo VAD', 61.43790849673203)","('RDIF', 61.11111111111111)"
 Batrukov Alexander Lvovich,"('UralVagonZavod', 66.17826617826617)","('Vostok Battalion', 65.38461538461539)","('Bank of Russia', 64.53546453546454)","('Donetsk Republic', 64.26282051282051)","('Kalmius Battalion', 62.66968325791855)"
" ""MM-Color Center""","("" 'Mostotrest'"", 66.66666666666666)","('O ""VO Technopromexport""', 66.14718614718615)","('Dobrolet', 66.11111111111111)","('Concern Almaz-Antey', 64.95481127060074)","('Mostotrest, P', 63.57142857142857)"
" ""TRAN-GAMMA""","('Stroygazmontazh-Most  (SGM-MOST )', 66.27075351213283)","('Stroygazmontazh Corporation (SGM Group)', 64.03403403403404)","('25 January Committee', 63.57142857142857)","(""C 'Interavtomatika'"", 63.18627450980392)","('Z Interautomatica', 63.18627450980392)"
" ""Wuurt North-West""","("" 'Mostotrest'"", 66.48809523809524)","('P Mostotrest', 63.888888888888886)","(' ""United Aircraft Corporation""', 63.7696408529742)","('United Aircraft Corporation', 63.7696408529742)","(' ""United Shipbuilding Corporation""', 60.12544802867383)"
" ""DV-Avto""","("" 'VO TPE'"", 64.28571428571429)","('C VAD Aktsionernoe Obshchestvo VAD', 62.23155929038282)","(""C 'Interavtomatika'"", 60.280112044817926)","('Z Interavtomatika (IA)', 58.80952380952381)","('Industrial Savings Bank', 57.72256728778468)"
" ""EKVINET-NORD""","(""Resort 'Nizhnyaya Oreanda'"", 63.42592592592592)","('C VAD Aktsionernoe Obshchestvo VAD', 61.76470588235294)","('VTB', 61.11111111111111)","('Cossack National Guard', 60.858585858585855)","('Battalion Gvardeysky', 60.55555555555555)"
" ""Kolkleper""","('Black Sea Bank for Development and Reconstruction', 57.97430083144369)","(' Black Sea Bank for Development and Reconstruction', 57.97430083144369)","(""Azovsky likerovodochny zavod'"", 57.14285714285715)","('Dobrolet', 56.94444444444444)","('Donetsk Republic', 56.94444444444443)"
" ""Autoprogress-M""","('P Mostotrest', 66.26984126984127)","("" 'Institute Giprostroymost - Saint-Petersburg'"", 64.59840972036093)","(""Mostotrest;  'Mostotrest'"", 63.01587301587301)","('Russian National Commercial Bank', 60.51587301587303)","('The Great Don Army', 60.317460317460316)"
" ""Home Interior""","(""P 'Chernomorneftegaz'"", 65.68519200098147)","('Movement ""Novorossiya"" of Igor Strelkov', 63.8022638022638)","('Movement Novorossiya of Ignor Strelkov', 63.517768780926666)","(' ""VO Technopromexport""', 63.18488529014844)","('Smert Battalion', 62.075702075702075)"
" ""Aylav Digital""","('Zarya Battalion', 67.45726495726495)","('Somali Battalion', 64.04914529914531)","(' Zaliv Shipyard', 63.18681318681318)","('Kalmius Battalion', 62.94620412267471)","('Industrial Savings Bank', 62.328975372453634)"
" ""Meritek SPb""","('Donetsk Republic', 68.2449494949495)","('Smert Battalion', 64.84848484848484)","('Mostotrest, P', 64.46608946608947)","('Prizrak Brigade', 59.59595959595959)","(' Feodosia Enterprise of oil', 59.4988344988345)"
"Ltd. ""Northklecet""","(' ""VO Technopromexport""', 63.09941520467836)","('Donetsk Republic', 63.05555555555556)","('O ""VO Technopromexport""', 61.42857142857142)","('Army of the Southeast', 60.2116402116402)","('VTB Bank (Public )', 60.0)"
"Night ""Odpo"" Profcentzer ""","(' ""VO Technopromexport""', 69.58304853041696)","('O ""VO Technopromexport""', 68.38924963924966)","(' ""United Aircraft Corporation""', 66.35307321581831)","('United Aircraft Corporation', 66.35307321581831)","(' ""United Shipbuilding Corporation""', 63.64498878730377)"
 Shakin Vladimir Anatolyevich,"('Z Interavtomatika (IA)', 66.54761904761905)","('Cossack National Guard', 66.20670995670996)","('Kalmius Battalion', 65.54621848739495)","('Tactical Missiles Corporation ', 63.75637369285282)","('Somali Battalion', 63.07234432234433)"
" ""AST GOZ""","('Federal State Budgetary Enterprise \'Sanatorium ""Nizhnyaya Oreanda""\' of the Administration of the President of the Russian Federation', 63.72767857142857)","('UralVagonZavod', 61.904761904761905)","(""'Federativnoye Gosudarstvo Novorossiya'"", 61.75461175461175)","("" 'Institute Giprostroymost - Saint-Petersburg'"", 61.20789779326364)","('Separate Artillery Brigade of the 1st Army Corps', 60.51587301587301)"
" ""Consul Motors""","("" 'Mostotrest'"", 68.7179487179487)","('Cossack National Guard', 64.12587412587413)","('Luhansk Economic Union', 64.12587412587413)","('Tactical Missiles Corporation ', 63.80194518125554)","('P Mostotrest', 63.56837606837607)"
 Ignatenkov Veronika Yuryevna,"(""'Federativnoye Gosudarstvo Novorossiya'"", 68.39152817413688)","('Industrialny Sberegatelny Bank', 66.03174603174602)","('Donetskaya Narodnaya Respublika', 65.04096262160778)","(""Resort 'Nizhnyaya Oreanda'"", 64.94708994708994)","(""C 'Interavtomatika'"", 64.04330963154493)"
UFK in the city ofPB (ovo in Moscow. Pral,"(""State Unitary Enterprise of the 'Republic of Crimea' 'Chernomorneftegaz'"", 64.21424980248509)","('O ""VO Technopromexport""', 63.0826689650219)","(""International Union of Public Associations 'Great Don Army'"", 62.903951358959844)","(""State Unitary Enterprise of the City of Sevastopol 'Sevastopol Sea Port'"", 62.89736407383466)","('Fedosia Oil Products Supply Company', 62.814407814407815)"
" ""Gazmontizhiniring""","('Mir Luganschine', 58.4640522875817)","(' \'Foreign Economic Association\' ""Technopromexport""', 58.196748784984074)","("" 'Foreign Economic Association' 'Technopromexport'"", 58.196748784984074)","("" Foreign Economic Association 'Technopromexport'"", 58.196748784984074)","('Otkritie', 57.84313725490197)"
" ""ZSM PROGRESS""","('P Mostotrest', 65.27777777777779)","('P Sberbank of Russia', 62.22222222222222)","('Sberbank of Russia', 62.03703703703704)","(""Mostotrest;  'Mostotrest'"", 61.50793650793651)","('Bank Rossiya', 61.111111111111114)"
" ""Yar0 Rent""","('Almaz-Antey ', 60.336700336700346)","('Industrialny Sberegatelny Bank', 59.35185185185185)","('First Crimean Insurance Company', 57.26233145587983)","('Dobrolet', 56.94444444444444)","(""' 'Sparkling Wine Plant Novy Svet'"", 56.66666666666668)"
Nevsky Atlant ,"('Vostok Battalion', 69.80769230769232)","(""Azovsky likerovodochny zavod'"", 63.42083842083842)","('P Promsvyazbank', 62.075702075702075)","('Industrialny Sberegatelny Bank', 61.639471639471644)","('Smert Battalion', 61.59544159544159)"
" ""Intergolor""","(' Integral', 88.64285714285714)","('Integral', 88.64285714285714)","('P Integral', 75.23809523809524)","(""C 'Interavtomatika'"", 65.09803921568627)","('Z Interautomatica', 65.09803921568627)"
Akva Star Service ,"('C VAD Aktsionernoe Obshchestvo VAD', 66.33986928104575)","("" 'VO TPE'"", 63.39869281045751)","('Russian Direct Investment Fund', 63.01156359979889)","('Bank Rossiya', 62.908496732026144)","('Almaz-Antey Defense Corporation', 62.54561377901037)"
 Barinov Vasily Aleksandrovich,"('Bank Rossiya', 67.44165795889933)","('Battalion Gvardeysky', 65.89080459770115)","(""Prizrak Battalion 'Ghost' Brigade"", 65.76619524339212)","(""Azovsky likerovodochny zavod'"", 65.13136288998359)","('Russian National Commercial Bank', 65.0605500821018)"
" ""Klimat-Prof""","('Kalmius Battalion', 64.92869875222816)","(""Prizrak Battalion 'Ghost' Brigade"", 62.876072553491916)","(""Prizrak Battalion 'Ghost' Battalion"", 62.289562289562284)","(' Zaliv Shipyard', 60.24531024531024)","('Separate Artillery Brigade of the 1st Army Corps', 59.448653198653204)"
" ""Mud Media Rasha""","(""C 'Interavtomatika'"", 62.630718954248366)","('Z Interavtomatika (IA)', 60.92592592592593)","(""Gosudarstvenoye predpriyatiye Agrofirma 'Magarach' nacionalnogo instituta vinograda i vina 'Magarach'"", 60.710194730813285)","('Industrial Savings Bank', 60.04830917874396)","('Z Interautomatica', 59.869281045751634)"
" ""Petersburg Sales Company""","('P Integral', 66.94444444444444)","('Peace To Luhansk Region', 66.243961352657)","('Industrialny Sberegatelny Bank', 65.37037037037038)","('First Crimean Insurance Company', 64.72520908004779)","('Crimean Republican Enterprise Azov Distillery Plant', 64.63161021984551)"
 Highly Ilya Sergeevich,"('Luganskiy Ekonomicheskiy Soyuz', 59.39393939393939)","('Industrialny Sberegatelny Bank', 58.19624819624819)","(' Feodosia Enterprise of oil', 58.04195804195804)","('Mir Luganschine', 57.37373737373738)","('Russian Direct Investment Fund', 57.218337218337226)"
SP carriers Pavel Igorevich,"(""State enterprise 'Universal-Avia'"", 66.19673436877738)","(""' 'Sparkling Wine Plant Novy Svet'"", 64.44444444444444)","(' Research and Production Corporation UralVagonZavod', 64.01825013419217)","('Peace To Luhansk Region', 63.77482555018786)","(""So-called 'Lugansk People's Republic'"", 63.439153439153436)"
" ""AV PATTS""","(""Prizrak Battalion 'Ghost' Brigade"", 65.26497695852534)","(""Prizrak Battalion 'Ghost' Battalion"", 64.8088023088023)","("" 'VO TPE'"", 63.888888888888886)","('Sparta Battalion', 62.797619047619044)","('Crimean Republican Enterprise Azov Distillery Plant', 62.254901960784316)"
" ""Merida Plus""","('Fedosia Oil Products Supply Company', 63.16017316017316)","('Mir Luganschine', 62.853535353535364)","(' Integral', 62.651515151515156)","('Integral', 62.651515151515156)","('Sberbank of Russia', 62.626262626262616)"
" ""Recast Auto""","('Death Battalion', 70.1010101010101)","('Smert Battalion', 69.4949494949495)","('Kalmius Battalion', 69.09536541889483)","('Sparta Battalion', 65.9090909090909)","(' Research and Production Corporation UralVagonZavod', 64.9090909090909)"
" ""Aroma XXI""","('Zarya Battalion', 62.96296296296296)","('Sparta Battalion', 62.268518518518526)","('Stroygazmontazh Corporation (SGM Group)', 60.8036608036608)","('Almaz-Antey ', 60.26936026936026)","('Bank Rossiya', 59.074074074074076)"
" ""Terra Assistans""","('Sparta Battalion', 66.38888888888889)","(""Resort 'Nizhnyaya Oreanda'"", 63.96464646464647)","('Russia Bank', 62.853535353535364)","(""State Enterprise 'Sevastopol Commercial Seaport'"", 62.68461007591443)","(""State Enterprise 'Sparkling Wine Plant 'Novy Svet'"", 62.46876055386693)"
" ""MSA""","(' Promsvyazbank', 74.35897435897436)","('Promsvyazbank P', 73.33333333333334)","('Movement ""Novorossiya"" of Igor Strelkov', 69.36936936936937)","('Movement Novorossiya of Ignor Strelkov', 69.2982456140351)","('IS Bank', 65.07936507936508)"
" ""Aquabalt""","('Kalmius Battalion', 66.7016806722689)","('Death Battalion', 66.11111111111111)","('Zarya Battalion', 66.11111111111111)","('Somali Battalion', 65.27777777777779)","('Battalion Gvardeysky', 62.77777777777778)"
" Company ""SIMPL""","(""Donbas People's Militia"", 63.467112597547384)","(""Donbass People's Militia"", 62.863247863247864)","('Cossack National Guard', 61.8006993006993)","('Promsvyazbank P', 61.59544159544159)","('P SOVCOMBANK', 59.82905982905983)"
" ""Bubborg""","('Bulwark', 61.904761904761905)","('P Sberbank (Public  Sberbank)', 56.8864468864469)","(""Sobol'"", 56.19047619047619)","('Black Sea Bank for Development and Reconstruction', 55.10204081632652)","(' Black Sea Bank for Development and Reconstruction', 55.10204081632652)"
SKY NORD ,"('Donetsk Republic', 62.797619047619044)","('Black Sea Bank for Development and Reconstruction', 62.5)","(' Black Sea Bank for Development and Reconstruction', 62.5)","(""'Luganskaya Narodnaya Respublika' (LNR)"", 61.78571428571429)","(""Azovsky likerovodochny zavod'"", 61.30952380952381)"
" ""Energia""","('P Integral', 70.7936507936508)","(' Integral', 64.64285714285715)","('Integral', 64.64285714285715)","(""State Enterprise 'Sparkling Wine Plant 'Novy Svet'"", 62.107396149949345)","(' Genbank', 61.904761904761905)"
" ""Zetzz""","('Death Battalion', 51.11111111111111)","('Smert Battalion', 51.11111111111111)","(' TPE', 51.11111111111111)","('Zarya Battalion', 51.11111111111111)","('VTB', 51.11111111111111)"
" ""Company AROMOM INNESHNL""","('Concern Almaz-Antey', 66.22171370455123)","('Luhansk Economic Union', 65.3115000941088)","('Stroygazmontazh Corporation (SGM Group)', 62.673543108325724)","(' \'Foreign Economic Association\' ""Technopromexport""', 61.64251207729469)","("" 'Foreign Economic Association' 'Technopromexport'"", 61.64251207729469)"
" ""Sports""","('P Mostotrest', 72.22222222222221)","('Fedosia Oil Products Supply Company', 66.82539682539682)","("" 'Institute Giprostroymost - Saint-Petersburg'"", 65.98915989159892)","("" 'Mostotrest'"", 64.44444444444444)","('Sparta Battalion', 63.888888888888886)"
" CH ""FORSAD""","('Free Donbas', 66.18566618566618)","('Free Donbass', 64.41798941798942)","('State Corporation for the Promotion of the Development, Manufacture and Export of High Technology Products ""Rostec""', 61.93783068783068)","(' CB IS Bank', 61.48148148148148)","('Bank Rossiya', 59.074074074074076)"
" ""Rakurs""","('Bank of Russia', 66.34920634920634)","(""Federal United Enterprise 'Crimea Railway'"", 65.27777777777779)","(""State enterprise 'Universal-Avia'"", 59.820788530465954)","('Russia Bank', 59.34343434343434)","(""'Federativnoye Gosudarstvo Novorossiya'"", 58.94894894894895)"
" ""Klintime""","('Otkritie', 68.33333333333333)","(""' 'Sparkling Wine Plant Novy Svet'"", 65.0)","('P Integral', 63.33333333333333)","('Z Interavtomatika (IA)', 62.77777777777778)","('Almaz-Antey ', 62.651515151515156)"
" ""SPETSMONTAZH-SM""","('Stroygazmontazh-Most  (SGM-MOST )', 62.68199233716475)","('Stroygazmontazh Corporation (SGM Group)', 62.477477477477485)","(' TPE', 62.22222222222222)","('Mostotrest, P', 60.83333333333333)","(""Donbass People's Militia"", 59.44444444444444)"
" ""Horton International""","('Vostok Battalion', 70.0)","('Oplot Battalion', 68.88888888888887)","('Bank Otkritie Financial Corporation P', 66.58658658658659)","('Death Battalion', 66.11111111111111)","('Smert Battalion', 66.11111111111111)"
" ""EIC AR ES GROUP""","('First Crimean Insurance Company', 65.94430658946789)","('The Great Don Army', 64.07407407407408)","('Peace To Luhansk Region', 63.5024154589372)","(""So-called 'Lugansk People's Republic'"", 61.78266178266178)","(""State Enterprise 'Magarach' of the National Institute of Wine"", 60.449287059456545)"
MENPAUERGRUP ,"('P Integral', 58.88888888888889)","('State Corporation for the Promotion of the Development, Manufacture and Export of High Technology Products ""Rostec""', 58.071789321789325)","(""P 'Chernomorneftegaz'"", 57.09064327485379)","("" 'Lenpromtransproyekt'"", 57.09064327485379)","('Almaz-Antey Corp', 56.94444444444445)"
" ""AERRD""","('State Corporation for the Promotion of the Development, Manufacture and Export of High Technology Products ""Rostec""', 68.15476190476191)","(""Azovsky likerovodochny zavod'"", 64.76190476190476)","(""State enterprise 'Universal-Avia'"", 64.30107526881721)","('Separate Artillery Brigade of the 1st Army Corps', 63.47222222222223)","(' Research and Production Corporation UralVagonZavod', 63.33333333333334)"
" ""Center""","(""State Concern 'National Association of producers 'Massandra'"", 64.61988304093568)","(""C 'Interavtomatika'"", 64.2483660130719)","(""State Unitary Enterprise of the Crimean Republic 'Crimean Sea Ports'"", 64.14141414141415)","(""State Unitary Enterprise of the City of Sevastopol 'Sevastopol Sea Port'"", 63.96825396825396)","(' Integral', 63.888888888888886)"
" ""KARANDERVIS""","('Battalion Gvardeysky', 68.1986531986532)","('C VAD Aktsionernoe Obshchestvo VAD', 60.106951871657756)","('Sberbank of Russia', 59.890572390572395)","('Almaz-Antey Corp', 58.90151515151515)","('P Sberbank of Russia', 58.409090909090914)"
" ""Brand Smile""","('Bank of Russia', 65.80086580086581)","('Bank Rossiya', 64.46608946608947)","('Smert Battalion', 62.853535353535364)","('Mir Luganschine', 62.853535353535364)","('Dobrolet', 62.651515151515156)"
" ""formax""","(' \'Foreign Economic Association\' ""Technopromexport""', 64.81481481481481)","("" 'Foreign Economic Association' 'Technopromexport'"", 64.81481481481481)","("" Foreign Economic Association 'Technopromexport'"", 64.81481481481481)","('Sovkombank', 60.0)","('First Crimean Insurance Company', 59.85663082437276)"
" ""SYSTEMS AND TECHNOLOGIES""","('Peace To Luhansk Region', 67.8566354077863)","('Cossack National Guard', 64.46608946608947)","('C VAD Aktsionernoe Obshchestvo VAD', 64.31458548331614)","('Industrialny Sberegatelny Bank', 64.06862745098039)","('Smert Battalion', 63.96464646464647)"
" ""Company kg""","('P SOVCOMBANK', 71.34920634920636)","('Sovkombank', 66.66666666666666)","('P Promsvyazbank', 62.698412698412696)","('Cossack National Guard', 62.51082251082251)","('Promsvyazbank P', 61.111111111111114)"
Road Association,"('Somali Battalion', 67.04545454545455)","('C VAD Aktsionernoe Obshchestvo VAD', 66.7016806722689)","(' ""United Aircraft Corporation""', 66.20963912630579)","('United Aircraft Corporation', 66.20963912630579)","('Russian National Commercial Bank', 65.17857142857143)"
 Lev Jan Aronovich,"(""Azovsky likerovodochny zavod'"", 64.04330963154493)","('VTB Bank (Public )', 62.61437908496732)","('Luhansk Economic Union', 62.4777183600713)","('C VAD Aktsionernoe Obshchestvo VAD', 61.89542483660131)","(' Almaz-Antey Corporation', 60.36516055697641)"
 epico Olga Eduardovna,"('So-called ""Luhansk Guard""', 65.54865424430642)","('So-called ""Lugansk Guard""', 65.54865424430642)","(""'Federativnoye Gosudarstvo Novorossiya'"", 65.15801515801516)","('Fedosia Oil Products Supply Company', 64.74323062558356)","('Cossack National Guard', 64.31457431457432)"
 Chemhwine Denis Yakovlevich,"(""' 'Sparkling Wine Plant Novy Svet'"", 63.40595497458242)","('Movement ""Novorossiya"" of Igor Strelkov', 60.66066066066066)","('Peace To Luhansk Region', 60.257648953301135)","(""State enterprise 'Universal-Avia'"", 59.87405416168857)","('Luganskiy Ekonomicheskiy Soyuz', 59.48438634713145)"
" ""Insurance Technologies""","('UAC', 71.2121212121212)","('Peace To Luhansk Region', 70.00310005425095)","('Mir Luganschine', 67.07070707070707)","('Aktsionernoe Obshchestvo Genbank', 66.39309764309765)","(' \'Foreign Economic Association\' ""Technopromexport""', 65.11784511784512)"
" ""Smart Accounting""","('Smert Battalion', 68.57323232323232)","('Kalmius Battalion', 65.69741532976826)","('Somali Battalion', 65.0)","('Sparta Battalion', 65.0)","('Cossack National Guard', 64.72902097902097)"
" ""ANGARA ATSTANS""","('Sparta Battalion', 69.80820105820106)","('Army of the Southeast', 65.07936507936508)","('Army of the South-East', 64.50216450216449)","('Donetskaya Narodnaya Respublika', 63.69687660010241)","('Zarya Battalion', 63.650793650793645)"
" ""Scartel""","('Smert Battalion', 69.68253968253968)","('Sparta Battalion', 67.55952380952381)","('USC', 65.07936507936508)","('Rostec', 64.28571428571429)","(""Gosudarstvennoye unitarnoye predpriyatiye Respubliki Krym 'Zavod shampanskykh vin 'Novy Svet'"", 64.12698412698413)"
"P ""MTS""","('P Mostotrest', 81.72222222222223)","('P USC', 78.66666666666667)","('P Promsvyazbank', 68.88888888888887)","("" 'Lenpromtransproyekt'"", 67.01754385964912)","('Peace To Luhansk Region', 65.79710144927536)"
" ""Svyaz-Holding""","(""Azovsky likerovodochny zavod'"", 64.49938949938951)","('Zarya Battalion', 63.29059829059829)","(' Zaliv Shipyard', 63.02401302401302)","('Vostok Battalion', 62.17948717948718)","('So-called ""Luhansk Guard""', 62.04632726371857)"
" ""Rosokhran Telecom""","('Rostec', 79.640522875817)","('Donetsk Republic', 67.10784313725492)","('O ""VO TPE""', 63.97058823529412)","("" 'VO TPE'"", 63.39869281045751)","(""State Enterprise 'Sevastopol Commercial Seaport'"", 62.503552145495874)"
" ""Infotele""","(' Integral', 80.0)","('Integral', 80.0)","('P Integral', 70.83333333333334)","("" 'VO TPE'"", 62.5)","('Rostec', 62.5)"
" ""Post Russia""","('Bank of Russia', 72.45670995670996)","("" 'Mostotrest'"", 65.15151515151516)","('P Sberbank of Russia', 64.49494949494951)","('P Mostotrest', 64.46608946608947)","('Bank Rossiya', 64.46608946608947)"
" ""Sign of Difference""","('Russian Direct Investment Fund', 64.15954415954415)","(' Feodosia Enterprise of oil', 62.92226292226292)","('Almaz-Antey Defense Corporation', 59.47105463234495)","(' \'Foreign Economic Association\' ""Technopromexport""', 58.88888888888889)","("" 'Foreign Economic Association' 'Technopromexport'"", 58.88888888888889)"
" ""K2 Automotive Claud""","('25 January Committee', 63.274853801169584)","('Cossack National Guard', 63.016807753649864)","('Kalmius Battalion', 62.07899427713669)","('Z Interautomatica', 62.07899427713669)","(""C 'Interavtomatika'"", 60.48503611971105)"
" ""PEPELEV GROUP""","(""People's Union"", 64.56043956043956)","(' TPE', 60.68376068376068)","(' ""VO Technopromexport""', 59.547908232118765)","('P United Shipbuilding Corporation', 59.075369075369075)","(""Gosudarstvennoye unitarnoye predpriyatiye Respubliki Krym 'Zavod shampanskykh vin 'Novy Svet'"", 58.66096866096866)"
"P ""MOEK""","('P Mostotrest', 85.0)","(' TPE', 66.66666666666666)","(""P 'Chernomorneftegaz'"", 63.21637426900585)","('P Sberbank of Russia', 62.777777777777786)","('Peace To Luhansk Region', 61.69082125603865)"
" ""DPK SPb""","('Donetsk Republic', 68.84920634920636)","('P USC', 67.6190476190476)","('P SOVCOMBANK', 63.49206349206349)","('P United Shipbuilding Corporation', 62.40981240981242)","('P Promsvyazbank', 61.58730158730159)"
" ""Express-Auto-West""","('P Mostotrest', 64.86928104575162)","('C VAD Aktsionernoe Obshchestvo VAD', 61.31221719457013)","('Army of the South-East', 61.155674390968514)","(""' 'Sparkling Wine Plant Novy Svet'"", 60.44746103569633)","('Russian Direct Investment Fund', 60.44746103569633)"
