Supplier Name,Match1,Score1,Match2,Score2,Match3,Score3,Match4,Score4,Match5,Score5
"""Sign-Auto",ROSNEFT AERO,66.66666666666666,"'Foreign Economic Association' ""Technopromexport",64.72222222222223,'Foreign Economic Association' 'Technopromexport,64.72222222222223,Foreign Economic Association 'Technopromexport,64.72222222222223,Gas Industry Insurance Company SOGAZ,63.888888888888886
Individual entrepreneur,ORIENTAL REVIEW,69.05797101449275,Industrial Savings Bank,66.77018633540372,Russian Direct Investment Fund,66.4573268921095,"""United Aircraft",64.62889767237593,United Aircraft,64.62889767237593
"""Pit Stop Service","Mostotrest, P",65.97222222222221,State Enterprise 'Sevastopol Commercial Seaport,65.76086956521739,Peace To Luhansk Region,61.9927536231884,Mostotrest,61.72619047619047,'Mostotrest,61.72619047619047
IKEA House,Luganskiy Ekonomicheskiy Soyuz,64.44444444444444,Peace To Luhansk Region,63.26086956521739,Mir Luganschine,62.698412698412696,Bank of Russia,62.06349206349206,Army of the Southeast,60.198412698412696
"""I7",IS Bank,54.76190476190476,Integral,54.166666666666664,Unit 08806,53.333333333333336,CB IS Bank,53.333333333333336,Russia Bank,53.03030303030303
"""Delicious Lunch","""United Shipbuilding",64.95481127060074,United Shipbuilding,64.95481127060074,"So-called ""Luhansk Guard",63.5024154589372,Kalmius Battalion,62.61437908496732,Donetsk Republic,59.44444444444444
"""Auto Help",Peace To Luhansk Region,64.89533011272141,'VO TPE,62.03703703703704,"""United Shipbuilding",62.01615148983569,United Shipbuilding,62.01615148983569,Luhansk Economic Union,60.34151034151035
"""Rosseti Lenenergo",ROSNEFT AERO,81.83660130718955,ORIENTAL REVIEW,67.22519310754605,Cossack National Guard,66.71122994652407,Aktsionernoe Obshchestvo Genbank,65.03676470588235,Rostec,64.2483660130719
"""Center Distribution","""United Shipbuilding",69.88304093567251,United Shipbuilding,69.88304093567251,State enterprise 'Universal-Avia,66.88926617619316,ROSNEFT AERO,66.71539961013644,Smert Battalion,66.4327485380117
Vinogradova Elena Alekseevna,Industrialny Sberegatelny Bank,68.29156223893065,Donetskaya Narodnaya Respublika,64.1017867248767,'Federativnoye Gosudarstvo Novorossiya,61.82754182754183,' 'Sparkling Wine Plant Novy Svet,61.7989417989418,Integral,61.30952380952381
Kornilov D. S.,Azovsky likerovodochny zavod,61.832611832611825,Narodny Soyuz,61.20268620268621,Russian Direct Investment Fund,60.27777777777777,VAD Aktsionernoe Obshchestvo VAD,60.19570707070706,Bank of Russia,59.92063492063493
"""ECS"" Motor Transport","Mostotrest, P",71.06592238171184,Army of the South-East,68.145012881855,Mostotrest,68.01169590643275,'Mostotrest,68.01169590643275,'Lenpromtransproyekt,66.12685560053981
"""Rubwinil",Russian National Commercial Bank,64.58333333333334,Russia Bank,62.121212121212125,Russian Direct Investment Fund,59.72222222222222,"Federal State Budgetary Enterprise 'Sanatorium ""Nizhnyaya Oreanda""' of the Administration of the President of the Russian Federation",59.561011904761905,Federal State Budgetary Enterprise 'Production-Agrarian Union 'Massandra' of the Administration of the President of the Russian Federation,59.46649029982364
"""Original Systems SPb",ORIENTAL REVIEW,65.55555555555556,'Institute Giprostroymost - Saint-Petersburg,65.00451671183379,Donbass People's Militia,62.799145299145295,Rostec,62.777777777777786,Otkritie,62.77777777777778
"""Avtotrade Krasnodar",Battalion Gvardeysky,64.98650472334683,Donetskaya Narodnaya Respublika,64.02447651386531,Prizrak Battalion 'Ghost' Brigade,64.02447651386531,Z Interavtomatika (IA,63.274853801169584,Zarya Battalion,63.09941520467836
Elegeny Dmitry Leonidovich,Luganskiy Ekonomicheskiy Soyuz,63.44729344729344,People's Union,62.5966625966626,Russian Direct Investment Fund,62.252388134741075,Feodosia Enterprise of oil,61.858974358974365,' 'Sparkling Wine Plant Novy Svet,61.207264957264954
Tymoshenkov Alexey Konstan,Aktsionernoe Obshchestvo Genbank,67.84569597069597,Vneshekonombank,66.06837606837607,'Federal State of Novorossiya,64.87586487586489,NEW EASTERN OUTLK,64.44731738849386,Donetskaya Narodnaya Respublika,64.08732749989116
"""Ligal Insight",Mir Luganschine,61.59544159544159,Integral,60.256410256410255,Tactical Missiles,60.24563671622495,Industrial Savings Bank,60.13377926421405,"'Foreign Economic Association' ""Technopromexport",59.71509971509972
"""KULINARION-MSK",Narodny Soyuz,67.94871794871794,Kalmius Battalion,66.75070028011204,Luganskiy Ekonomicheskiy Soyuz,65.9096459096459,Luhansk Economic Union,64.06926406926407,Industrial Savings Bank,63.34462638810465
"""warehouse.ru",ROSNEFT AERO,62.698412698412696,Army of the Southeast,61.50793650793651,NEW EASTERN OUTLK,61.165577342047925,Army of the South-East,60.858585858585855,Narodny Soyuz,59.82905982905983
"""INTELINFO",Integral,83.6111111111111,Bank Otkritie Financial,66.22383252818035,International Union of Public Associations 'Great Don Army,64.5224171539961,"""United Aircraft",63.33333333333333,United Aircraft,63.33333333333333
Harutyunov A.R.,Z Interavtomatika (IA,62.354497354497354,The Great Don Army,62.32804232804233,Battalion Gvardeysky,61.54761904761905,Peace To Luhansk Region,60.39797561536693,Sberbank of Russia,60.317460317460316
Seven hundred,ZELENODOLSK SHYARD,64.49430199430199,Resort 'Nizhnyaya Oreanda,61.502849002849004,Peace To Luhansk Region,61.2736900780379,VAD Aktsionernoe Obshchestvo VAD,60.875582750582744,NEW EASTERN OUTLK,59.24250041897101
"""Group Finance",Mir Luganschine,67.86324786324785,ROSNEFT AERO,65.96459096459097,GEOPOLITICA,61.34421134421135,Bank Otkritie Financial,60.13377926421405,Russian National Commercial Bank,59.39102564102564
"""Refka",ROSNEFT AERO,74.0,RDIF,63.33333333333333,Free Donbass,62.77777777777778,Sberbank of Russia,62.59259259259259,ORIENTAL REVIEW,60.0
"""Centreksim",Donetsk Republic,64.16666666666667,Mostotrest,60.0,'Mostotrest,60.0,Z Interautomatica,59.54248366013072,"""VO Technopromexport",59.42355889724311
Volosospess,'VO TPE,67.67676767676768,Svobodny Donbass,64.36688311688312,Sobol,63.78787878787878,"O ""VO TPE",62.651515151515156,Mostotrest; 'Mostotrest,61.94083694083694
"""JORNI",Otkritie,65.83333333333333,Bank Rossiya,62.77777777777778,Gosudarstvennoye unitarnoye predpriyatiye Respubliki Krym 'Zavod shampanskykh vin 'Novy Svet,61.48148148148148,Gosudarstvenoye predpriyatiye Agrofirma 'Magarach' nacionalnogo instituta vinograda i vina 'Magarach,61.3745704467354,ORIENTAL REVIEW,60.55555555555555
"""Caveryon Rus",Narodny Soyuz,67.73504273504273,Sberbank of Russia,63.888888888888886,'Federativnoye Gosudarstvo Novorossiya,61.677586677586675,Crimean Republican Enterprise Azov Distillery Plant,60.5119825708061,Bank of Russia,59.92063492063493
"""SMU-321",Smert Battalion,54.285714285714285,Somali Battalion,53.86904761904761,IS Bank,52.38095238095239,Kalmius Battalion,51.89075630252101,Stroygazmontazh-Most (SGM-MOST,51.06732348111659
IBS Platifix,IS Bank,64.36507936507937,GEOPOLITICA,62.62626262626263,Somali Battalion,59.72222222222222,Sparta Battalion,59.72222222222222,Donbas People's Militia,58.816425120772955
"""MASSOMVET","Mostotrest, P",66.66666666666666,Mostotrest; 'Mostotrest,60.84656084656085,Movement Novorossiya of Ignor Strelkov,59.746588693957115,Black Sea Bank of Development and Reconstruction,59.358465608465615,Black Sea Bank for Development and Reconstruction,59.25925925925925
Bulgakov Mikhail Gennadevich,Bank Otkritie Financial,66.44440384849591,Kalmius Battalion,65.54621848739495,Luganskiy Ekonomicheskiy Soyuz,63.650793650793645,Bulwark,63.095238095238095,Somali Battalion,61.50793650793651
"""Eurosibe Service Center",State enterprise 'Universal-Avia,64.4858785028738,Feodosia Enterprise of oil,63.19212188777406,State Enterprise 'Sevastopol Commercial Seaport,63.11249137336093,State Unitary Enterprise of the 'Republic of Crimea' 'UNIVERSAL-AVIA,62.863078950035465,Internet Research Agency,62.57246376811594
"Ass ""Petersburg Petsurbazhimspas",'Institute Giprostroymost - Saint-Petersburg,63.720224860032616,Gosudarstvennoye unitarnoye predpriyatiye Respubliki Krym 'Zavod shampanskykh vin 'Novy Svet,62.61319161207927,State enterprise 'Universal-Avia,61.9128466327108,'Federativnoye Gosudarstvo Novorossiya,61.19006102877071,State Enterprise 'Sevastopol Commercial Seaport,60.23842917251052
"""VERALUCH",Integral,66.66666666666666,Mir Luganschine,66.11111111111111,Federal State Budget Institution for Science and Research 'All-Russia National Scientific Research Institute for Wine Growing and Wine Making 'MAGARACH' Russian Academy of Sciences,63.81826741996234,VEB.RF,62.5,International Union of Public Associations 'Great Don Army,61.84210526315789
"""COLD GROUP","O ""VO TPE",63.33333333333333,Federal State Budgetary Enterprise 'Production-Agrarian Union 'Massandra' of the Administration of the President of the Russian Federation,59.135802469135804,ROSNEFT AERO,57.777777777777786,558 ARP,57.61904761904763,Narodny Soyuz,57.606837606837615
UFK in Moscow (Madi,USC,75.00000000000001,Bank of Russia,64.02116402116401,Luhansk Economic Union,62.626262626262616,Russian National Commercial Bank,61.93783068783068,UAC,59.25925925925925
"""Ruskofe",USC,65.07936507936508,Rostec,64.28571428571429,Russian National Commercial Bank,62.351190476190474,RDIF,59.523809523809526,Army of the Southeast,58.730158730158735
"""Inketcom",Luhansk Economic Union,67.42424242424242,'Interavtomatika,66.11111111111111,Z Interautomatica,64.54248366013073,Z Interavtomatika (IA,62.77777777777778,Russian Direct Investment Fund,59.44444444444444
"""Vikan Yaroslavl",Bank Rossiya,63.51851851851852,Sberbank of Russia,61.75925925925926,IS Bank,61.58730158730159,Prizrak Battalion 'Ghost' Battalion,61.010101010101,Battalion Gvardeysky,60.95959595959596
"""Ayvords",Narodny Soyuz,71.73382173382173,Azovsky likerovodochny zavod,65.47619047619048,Bank of Russia,61.904761904761905,Svobodny Donbass,60.892857142857146,Black Sea Bank for Development and Reconstruction,60.43083900226757
Society with,Otkritie,69.44444444444446,ORIENTAL REVIEW,63.57142857142857,Rostec,61.66666666666667,USC,61.11111111111111,'VO TPE,58.333333333333336
Pavlyuchenko Oleg Iosifovich,Peace To Luhansk Region,64.48361953477043,Luganskiy Ekonomicheskiy Soyuz,64.36507936507937,People's Union,62.301587301587304,Luhansk Economic Union,62.040043290043286,"O ""VO TPE",61.30952380952381
"Agency ""Candy Event",Concern Almaz-Antey,64.82980956665166,Russian Direct Investment Fund,61.59544159544159,Almaz-Antey Defense,60.88073719652667,Industrialny Sberegatelny Bank,60.52910052910053,UAC,59.25925925925925
